BCF-ch U14,Rhyl,1969.??.??,?,"Speelman, Jonathan S","Fletcher, John",,,C57,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Bc4', 'Nc6'], ['Ng5', 'd5'], ['exd5', 'Nxd5'], ['Nxf7', 'Kxf7'], ['Qf3+', 'Ke6'], ['Nc3', 'Nb4\n'], ['d4', 'c6'], ['Qe4', 'Kf7'], ['a3', 'Qa5'], ['axb4', 'Qxa1'], ['Nxd5', 'Qxc1+'], ['Ke2', 'Qxh1'], ['Nc7+', 'Ke7\n'], ['Qxe5+', 'Kd7'], ['Nxa8', 'Qxg2'], ['Qc7+', '']]",1-0
Oz.com qualifier blitz,Internet ICC,2000.03.05,8,"Ippolito,D","Speelman,J",,,A40,"[['d4', 'e6'], ['c4', 'b6'], ['e4', 'Bb7'], ['Bd3', 'Bb4+'], ['Bd2', 'Nc6'], ['Ne2', 'Qf6'], ['e5', 'Bxd2+'], ['Qxd2', 'Qh6\n'], ['Qxh6', 'Nxh6'], ['Be4', 'O-O-O'], ['Nbc3', 'd6'], ['exd6', 'cxd6'], ['O-O', 'Ne7'], ['Rac1', 'Bxe4\n'], ['Nxe4', 'Kb7'], ['Rfd1', 'd5'], ['cxd5', 'Nxd5'], ['N2c3', 'Nf5'], ['Ng5', 'Nxc3'], ['bxc3', 'Rd7'], ['a4', 'h6\n'], ['Nf3', 'Rc8'], ['Ne5', 'Rdc7'], ['Rd3', 'Nd6'], ['f3', 'a5'], ['Kf2', 'Nc4'], ['f4', 'Nb2'], ['Rd2', 'Nxa4\n'], ['c4', 'f6'], ['Nd3', 'Rxc4'], ['Rxc4', 'Rxc4'], ['Ke3', 'Nc3'], ['Nb2', 'Nd5+'], ['Ke4', 'Rc3'], ['Nd1', 'Rc1\n'], ['f5', 'Rxd1'], ['Rxd1', 'Nc3+'], ['Kf4', 'Nxd1'], ['fxe6', 'Kc6']]",0-1
Oz.com qualifier blitz,Internet ICC,2000.03.05,9,"Speelman,J","Vasiesiu,D",,,A05,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['d4', 'O-O'], ['Bg5', 'h6'], ['Bh4', 'd6'], ['e3', 'Nbd7'], ['Be2', 'e5\n'], ['O-O', 'c6'], ['Qc2', 'Qe7'], ['h3', 'Re8'], ['b4', 'e4'], ['Nd2', 'g5'], ['Bg3', 'Nf8'], ['c5', 'd5'], ['b5', 'Ng6\n'], ['bxc6', 'bxc6'], ['Qa4', 'Qe6'], ['Rab1', 'Nh7'], ['Bd6', 'Bd7'], ['Rb7', 'Nh4'], ['Nxd5', 'Nxg2'], ['Bg4', 'Qxd5\n'], ['Rxd7', 'Nh4'], ['Qc4', 'Qxc4'], ['Nxc4', 'Nf6'], ['Rb7', 'Nxg4'], ['hxg4', 'Nf3+'], ['Kg2', 'Re6'], ['Bg3', 'h5\n'], ['gxh5', 'Rh6'], ['Nd6', 'Rxh5'], ['Nxe4', 'f5'], ['Kxf3', 'g4+'], ['Ke2', 'fxe4'], ['Rfb1', '']]",1-0
4NCL,Birmingham ENG,2000.03.25,7,"Williams,S","Speelman,J",,,A10,"[['c4', 'b6'], ['Nc3', 'Bb7'], ['e4', 'e6'], ['Bd3', 'Bb4'], ['Qg4', 'Nf6'], ['Qh4', 'Bxc3'], ['dxc3', 'Nxe4'], ['Qg4', 'Nf6\n'], ['Qg3', 'd6'], ['Nf3', 'Nbd7'], ['Bc2', 'Qe7'], ['O-O', 'h6'], ['Re1', 'g5'], ['Nd4', 'O-O-O'], ['a4', 'a5\n'], ['b4', 'Ne5'], ['bxa5', 'bxa5'], ['Rb1', 'Nxc4'], ['Nb5', 'Bd5'], ['Bd3', 'Kd7'], ['Nxc7', 'Kxc7'], ['Bxc4', 'Bxc4\n'], ['Qe3', 'Kc8'], ['Qd4', 'Bd5'], ['c4', 'Ba8'], ['Bd2', 'e5'], ['Qd3', 'Qc7'], ['c5', 'Qc6'], ['Qf5+', 'Rd7\n'], ['f3', 'dxc5'], ['Bxa5', 'Qe6'], ['Qc2', 'c4'], ['Rb5', 'Bd5'], ['Reb1', 'Rb7'], ['Qb2', 'Qc6'], ['Qxe5', 'Re8\n'], ['Qf5+', 'Qe6'], ['Rxb7', 'Bxb7'], ['Qc5+', 'Qc6'], ['Qf5+', '']]",0-1
4NCL,Birmingham ENG,2000.03.26,8,"Norwood,D","Speelman,J",,,A46,"[['Nf3', 'b6'], ['d4', 'Bb7'], ['Bg5', 'h6'], ['Bh4', 'Nf6'], ['Nbd2', 'e6'], ['e3', 'Be7'], ['Bd3', 'c5'], ['c3', 'd6\n'], ['Qe2', 'Nbd7'], ['O-O', 'O-O'], ['e4', 'Nh5'], ['Bxe7', 'Qxe7'], ['g3', 'cxd4'], ['cxd4', 'Nhf6'], ['Ba6', '']]",1/2-1/2
Redbus KO,Southend ENG,2000.04.21,1.1,"Speelman,J","Ward,C",,,A37,"[['Nf3', 'c5'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['O-O', 'Bg7'], ['c4', 'e6'], ['Nc3', 'Nge7'], ['d3', 'O-O'], ['Bd2', 'b6\n'], ['a3', 'Bb7'], ['Rb1', 'd5'], ['cxd5', 'Nxd5'], ['Qa4', 'Rc8'], ['Rfc1', 'Nxc3'], ['Bxc3', 'a6'], ['Bxg7', 'Kxg7\n'], ['Ne5', 'b5'], ['Nxc6', 'Qg5'], ['Qa5', 'Bxc6'], ['Qxa6', 'Bxg2'], ['Kxg2', 'Qd5+'], ['Kg1', 'c4'], ['dxc4', 'Rxc4\n'], ['Rd1', 'Qe5'], ['e3', 'Rc7'], ['Qd6', 'Qf6'], ['Rd2', 'Rfc8'], ['Qd3', 'Rc5'], ['Rbd1', 'h5'], ['Qd4', 'e5\n'], ['Qd6', 'Qf3'], ['b4', 'Rc3'], ['Qxe5+', 'Kh6'], ['Qd5', 'Qxd5'], ['Rxd5', 'Rxa3'], ['Rxb5', 'h4'], ['Rd4', 'hxg3\n'], ['hxg3', 'f5'], ['Rh4+', 'Kg5'], ['Rf4', 'Rc1+'], ['Kg2', 'Kh6'], ['Rb6', 'Kg5'], ['Rd4', 'Rc7'], ['Rd8', 'Rg7\n'], ['Rh8', 'Ra2'], ['b5', 'Kg4'], ['Rc6', 'Rb2'], ['b6', 'f4'], ['Rh4+', '']]",1-0
Redbus KO,Southend ENG,2000.04.21,1.2,"Ward,C","Speelman,J",,,A42,"[['d4', 'd6'], ['e4', 'g6'], ['c4', 'Bg7'], ['Nc3', 'Nc6'], ['Be3', 'e5'], ['d5', 'Nce7'], ['c5', 'f5'], ['Bb5+', 'Kf8\n'], ['f3', 'Bh6'], ['Bxh6+', 'Nxh6'], ['f4', 'a6'], ['Ba4', 'exf4'], ['Qd4', 'Nf7'], ['c6', 'b5'], ['Bc2', 'fxe4\n'], ['Bxe4', 'Ng8'], ['Nge2', 'Qf6'], ['O-O', 'g5'], ['g3', 'Bh3'], ['Bg2', 'Bxg2'], ['Kxg2', 'Re8'], ['gxf4', 'b4\n'], ['Qxb4', 'Ngh6'], ['Qd4', 'Qxd4'], ['Nxd4', 'gxf4'], ['Ne6+', 'Ke7'], ['Rxf4', 'Ne5'], ['h3', 'Reg8+\n'], ['Kh2', 'Rg6'], ['Rg1', 'Rhg8'], ['Rxg6', 'hxg6'], ['Nxc7', 'g5'], ['Rf1', 'g4'], ['Ne6', 'Nhf7'], ['c7', 'gxh3\n'], ['Nd8', 'Rxd8'], ['cxd8=Q+', 'Nxd8'], ['Kxh3', 'Nd3'], ['b3', 'Nf7'], ['Kg4', '']]",1-0
Redbus KO,Southend ENG,2000.04.22,2.1,"Hebden,M","Speelman,J",,,A46,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['c3', 'd5'], ['Bg5', 'Nbd7'], ['Nbd2', 'Be7'], ['e3', 'c5'], ['Bd3', 'a6'], ['O-O', 'b5\n'], ['Ne5', 'Nxe5'], ['dxe5', 'Nd7'], ['Bxe7', 'Qxe7'], ['f4', 'Bb7'], ['Nf3', 'f6'], ['exf6', 'Nxf6'], ['Ne5', 'O-O\n'], ['Qe2', 'Rad8'], ['Rad1', 'Qe8'], ['Bb1', 'Nd7'], ['Qg4', 'Nxe5'], ['fxe5', 'Qe7'], ['b4', 'Bc8'], ['a3', 'Bd7\n'], ['h4', 'Rc8'], ['Qh5', 'g6'], ['Qh6', 'cxb4'], ['cxb4', 'Rxf1+'], ['Rxf1', 'Be8'], ['Bd3', 'Rc3'], ['Be2', 'Bf7\n'], ['h5', 'gxh5'], ['Bxh5', 'Bxh5'], ['Qxh5', 'Rc8'], ['Rf6', 'Re8'], ['Rh6', 'Qf7'], ['Qh3', 'Kh8'], ['Rf6', 'Qg8\n'], ['Qh6', 'Qg7'], ['Rxe6', 'Qxh6'], ['Rxh6', 'Rxe5'], ['Kf2', 'a5'], ['bxa5', 'Re4'], ['Rb6', 'd4'], ['exd4', 'Rxd4\n'], ['Rxb5', 'Ra4'], ['Kf3', 'Kg7'], ['g4', 'Kg6'], ['Kg3', 'Rxa3+'], ['Kh4', 'h6'], ['Rb6+', 'Kg7'], ['a6', 'Ra5\n'], ['Kg3', 'h5'], ['gxh5', 'Rxh5'], ['Kf4', 'Kf7'], ['Ke4', 'Ke7'], ['a7', 'Ra5'], ['Rh6', '']]",1-0
Redbus KO,Southend ENG,2000.04.22,2.2,"Speelman,J","Hebden,M",,,E61,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'O-O'], ['Bg5', 'c5'], ['d5', 'd6'], ['e3', 'b5'], ['cxb5', 'a6'], ['Nd2', 'Nbd7\n'], ['Be2', 'axb5'], ['Bxb5', 'Ba6'], ['Bxa6', 'Rxa6'], ['O-O', 'Qa8'], ['e4', 'Rb8'], ['Rb1', 'h6'], ['Be3', 'Ne8\n'], ['Qc2', 'Nc7'], ['a4', 'Rab6'], ['b3', 'Ne5'], ['h3', 'Qa6'], ['Rfd1', 'R6b7'], ['Nf1', 'c4'], ['Nd2', 'cxb3\n'], ['Rxb3', 'Nc4'], ['Rxb7', 'Rxb7'], ['Nxc4', 'Qxc4'], ['Rc1', 'Bxc3'], ['Qxc3', 'Qxa4'], ['Bxh6', 'Ne8\n'], ['Qc8', 'Qb5'], ['Qd8', 'f6'], ['Qc8', 'Qd7'], ['Qxd7', 'Rxd7'], ['h4', 'f5'], ['exf5', 'gxf5'], ['Bg5', 'Kf7\n'], ['Kh2', 'Nc7'], ['Rd1', 'Rd8'], ['Rd3', 'Rb8'], ['Rf3', 'Nxd5'], ['Rxf5+', 'Nf6'], ['Bxf6', 'exf6'], ['g4', 'Ke6\n'], ['Kg3', 'd5'], ['Rf3', 'd4'], ['g5', 'fxg5'], ['hxg5', 'Rd8'], ['Rd3', 'Kf5'], ['f4', 'Rd7'], ['Kf3', 'Rd8\n'], ['Ra3', 'd3'], ['Ra6', '']]",1-0
4NCL,Birmingham ENG,2000.04.29,9,"Collinson,A","Speelman,J",,,B14,"[['e4', 'c6'], ['d4', 'd5'], ['exd5', 'cxd5'], ['c4', 'Nf6'], ['Nc3', 'e6'], ['Nf3', 'Bb4'], ['cxd5', 'Nxd5'], ['Bd2', 'Nc6\n'], ['Bd3', 'Be7'], ['a3', 'Bf6'], ['O-O', 'O-O'], ['Qe2', 'g6'], ['Bh6', 'Re8'], ['Rfd1', 'Nxc3'], ['bxc3', 'Bd7\n'], ['Ne5', 'Nxe5'], ['dxe5', 'Bh8'], ['Bf4', 'Qc7'], ['h4', 'Ba4'], ['Rdc1', 'Rad8'], ['h5', 'Rd5'], ['hxg6', 'hxg6\n'], ['Be4', 'Bxe5'], ['Bxd5', 'Bxf4'], ['Qe4', 'exd5'], ['Qxa4', 'Re4'], ['Qxa7', 'Bh2+'], ['Kh1', 'Rh4\n'], ['Re1', 'Qc8'], ['f4', 'Bxf4+'], ['Kg1', 'Bd6']]",0-1
4NCL,Birmingham ENG,2000.04.30,10,"Speelman,J","Gormally,D",,,A15,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['b4', 'Bg7'], ['Bb2', 'c6'], ['e3', 'd5'], ['h3', 'O-O'], ['Na3', 'Qb6'], ['Bc3', 'Ne4\n'], ['Bxg7', 'Kxg7'], ['Rb1', 'a5'], ['b5', 'Qc5'], ['Qc1', 'Qd6'], ['bxc6', 'bxc6'], ['cxd5', 'cxd5'], ['Nb5', 'Qd8\n'], ['Be2', 'Ba6'], ['O-O', 'Nd7'], ['Qa3', 'Ndf6'], ['d3', 'Bxb5'], ['Rxb5', 'Qd6'], ['Qb2', 'Nc5'], ['Rb1', 'Rfc8\n'], ['Rb6', 'Qc7'], ['Qa3', 'e6'], ['Nd4', 'Nfd7'], ['Rc6', 'Qd8'], ['Rc1', 'Rxc6'], ['Nxc6', 'Qb6'], ['Qc3+', 'f6\n'], ['Nd4', 'Rb8'], ['Nb3', 'Nxb3'], ['axb3', 'Ne5'], ['d4', 'Nf7'], ['Bd1', 'Qb4'], ['Qxb4', 'Rxb4'], ['Kf1', 'e5\n'], ['dxe5', 'Nxe5'], ['Rc7+', 'Kh6'], ['g4', 'g5'], ['Bc2', 'Ng6'], ['Rd7', 'a4'], ['bxa4', 'Rc4'], ['Bxg6', 'Kxg6\n'], ['a5', 'Rc5'], ['a6', 'Ra5'], ['a7', 'Ra2'], ['Ke1', 'h5'], ['Kd1', 'f5'], ['gxf5+', 'Kxf5'], ['Rxd5+', 'Ke4\n'], ['Rxg5', 'Rxa7'], ['Ke2', 'Ra2+'], ['Kf1', 'h4'], ['Rg4+', 'Kf3'], ['Rf4+', '']]",1-0
4NCL,Birmingham ENG,2000.05.01,11,"Miles,A","Speelman,J",,,A46,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['c3', 'b6'], ['Bg5', 'Bb7'], ['Nbd2', 'Be7'], ['e3', 'h6'], ['Bh4', 'Ne4'], ['Bxe7', 'Qxe7\n'], ['Nxe4', 'Bxe4'], ['Bd3', 'Bxd3'], ['Qxd3', 'Nc6'], ['O-O', 'O-O'], ['Rad1', 'a5'], ['e4', 'a4'], ['Rfe1', 'Na5\n'], ['Qb5', 'Nb7'], ['e5', 'Ra5'], ['Qc4', 'Rc8'], ['h3', 'Qe8'], ['Re3', '']]",1/2-1/2
10th It,Lippstadt GER,2000.07.06,1,"Speelman,J",PCONNERS,,,D02,"[['Nf3', 'd5'], ['d4', 'Nf6'], ['c3', 'Bf5'], ['Bf4', 'e6'], ['Nbd2', 'Bd6'], ['Bg3', 'O-O'], ['e3', 'c5'], ['Nh4', 'cxd4\n'], ['exd4', 'Bxg3'], ['hxg3', 'Qc7'], ['Be2', 'Be4'], ['g4', 'h6'], ['Nxe4', 'Nxe4'], ['O-O', 'Nd7'], ['g3', 'Ndf6\n'], ['Ng2', 'a6'], ['Ne1', 'Rac8'], ['Kg2', 'Nd7'], ['Nc2', 'Rfd8'], ['Ne3', 'Ndf6'], ['Qe1', 'Qb6'], ['Rb1', 'Nd6\n'], ['Rh1', 'Re8'], ['f4', 'Qa5'], ['a3', 'Nde4'], ['Bd3', 'Rc6'], ['Qe2', 'Rec8'], ['Rbf1', 'R6c7'], ['Nd1', 'Qa4\n'], ['Nf2', 'Qc6'], ['Re1', 'Nxf2'], ['Kxf2', 'Qb6'], ['g5', 'hxg5'], ['fxg5', 'Ne4+'], ['Bxe4', 'dxe4'], ['Rh4', 'Kf8\n'], ['Rxe4', 'g6'], ['Kg1', 'Qa5'], ['Re5', 'Qa4'], ['Qf2', 'Kg8'], ['Qf6', 'Qd7'], ['R5e2', 'Qd6'], ['Kf2', 'Qd5\n'], ['Re5', 'Qd8'], ['Rh1', 'Qxf6+'], ['gxf6', '']]",1-0
10th It,Lippstadt GER,2000.07.07,2,"Speelman,J","Hracek,Z",,,A46,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['c3', 'c5'], ['Bg5', 'cxd4'], ['cxd4', 'Qb6'], ['Qc1', 'Nc6'], ['Bxf6', 'gxf6'], ['e3', 'd5\n'], ['Nc3', 'Bd7'], ['Be2', 'Rc8'], ['O-O', 'f5'], ['Qd2', 'Bd6'], ['Rfc1', 'Qd8'], ['Na4', 'b6'], ['Nc3', 'Qf6\n'], ['Ba6', 'Rd8'], ['Bb5', 'O-O'], ['Ne2', 'Rc8'], ['Rc2', 'Qe7'], ['Rac1', 'Nb4'], ['Rxc8', 'Rxc8'], ['Rxc8+', '']]",1/2-1/2
10th It,Lippstadt GER,2000.07.08,3,"Dautov,R","Speelman,J",,,A40,"[['d4', 'e6'], ['c4', 'b6'], ['e4', 'Bb7'], ['Bd3', 'Bb4+'], ['Bd2', 'Nc6'], ['Nf3', 'Qf6'], ['d5', 'Bxd2+'], ['Qxd2', 'Nce7\n'], ['Nc3', 'a6'], ['O-O', 'Qh6'], ['Qc2', 'Nf6'], ['e5', 'Nh5'], ['Be4', 'O-O'], ['dxe6', 'Bxe4'], ['exf7+', 'Rxf7\n'], ['Qxe4', 'Raf8'], ['Nd4', 'Qd2'], ['Nde2', 'Nf4'], ['Rad1', 'Qxb2'], ['Rxd7', 'Nxe2+'], ['Qxe2', 'Qxc3\n'], ['e6', 'Rf5'], ['Rxe7', 'Qf6'], ['Rxc7', 'Re5'], ['Qb2', 'Rxe6'], ['Qxf6', 'Rfxf6'], ['Ra7', 'a5'], ['h3', 'h6\n'], ['Rd1', 'Rd6'], ['Rd7', 'Rxd7'], ['Rxd7', 'Rf4'], ['Rc7', 'Rd4'], ['c5', 'bxc5'], ['Rxc5', 'Rd1+'], ['Kh2', 'Rd2\n'], ['Rxa5', 'Rxf2'], ['Kg3', 'Rc2'], ['Ra3', 'Kh7'], ['Kf3', 'Kg6'], ['g3', 'Kh5'], ['Ra5+', 'Kg6'], ['h4', 'Rc3+\n'], ['Kf4', 'Rc4+'], ['Ke5', 'Rg4'], ['Ra3', 'Kh5'], ['Rd3', 'Ra4'], ['a3', 'g5'], ['hxg5', 'hxg5'], ['Kd5', 'Kg4\n'], ['Kc6', 'Ra8']]",1/2-1/2
10th It,Lippstadt GER,2000.07.09,4,"Speelman,J","Mueller,Ka",,,A12,"[['c4', 'c6'], ['b3', 'd5'], ['Bb2', 'Nf6'], ['Nf3', 'Bg4'], ['Ne5', 'Bh5'], ['cxd5', 'cxd5'], ['b4', 'Nbd7'], ['Qb3', 'e6\n'], ['Nxd7', 'Qxd7'], ['e3', 'Bd6'], ['Bd3', 'O-O'], ['Bxf6', 'gxf6'], ['Nc3', 'Qe7'], ['a3', 'Kh8'], ['Be2', 'Bxe2\n'], ['Kxe2', 'Rfc8'], ['Rac1', 'Qe8'], ['Qa4', 'Rc6'], ['g3', 'a6'], ['Na2', 'b5'], ['Qb3', 'a5'], ['bxa5', 'Rc4\n'], ['Nc3', 'Rxa5'], ['Rb1', 'Bxa3'], ['Nxb5', 'Be7'], ['Nd4', 'Ra8'], ['Rhc1', 'Rb4'], ['Qd3', 'Ra2'], ['Nc6', 'Rxb1\n'], ['Qxb1', 'Ra8'], ['Qb7', 'Rc8'], ['Rc3', 'Bf8'], ['Qb5', 'f5'], ['d4', 'Qd7'], ['Na7', 'Qxb5+'], ['Nxb5', 'Rb8\n'], ['Na7', 'Rb2+'], ['Kf3', 'Bb4'], ['Rc8+', 'Kg7'], ['Rb8', 'Ra2'], ['Rxb4', 'Rxa7']]",1/2-1/2
10th It,Lippstadt GER,2000.07.10,5,"Slobodjan,R","Speelman,J",,,E12,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['a3', 'Bb7'], ['Nc3', 'g6'], ['Qc2', 'Bxf3'], ['exf3', 'Nc6'], ['Be3', 'Bg7\n'], ['O-O-O', 'Ne7'], ['g4', 'd5'], ['h4', 'h6'], ['Be2', 'dxc4'], ['h5', 'g5'], ['Bxc4', 'c6'], ['Kb1', 'Rc8\n'], ['Qd2', 'Ned5'], ['Nxd5', 'Nxd5'], ['f4', 'gxf4'], ['Bxf4', 'Nxf4'], ['Qxf4', 'b5'], ['Bb3', 'Qf6'], ['Qe4', 'c5\n'], ['f4', 'c4'], ['Bc2', 'Qe7'], ['f5', 'b4'], ['fxe6', 'Qxe6'], ['Qb7', 'O-O'], ['Bf5', 'Qd6'], ['Bxc8', 'bxa3\n'], ['Rh3', 'axb2'], ['Rc3', 'Qh2'], ['Rxc4', 'Qe2'], ['Qb3', 'a5'], ['Bf5', '']]",1-0
10th It,Lippstadt GER,2000.07.11,6,"Speelman,J","Schlosser,P",,,E54,"[['c4', 'Nf6'], ['Nc3', 'e6'], ['d4', 'Bb4'], ['e3', 'O-O'], ['Bd3', 'd5'], ['Nf3', 'c5'], ['O-O', 'dxc4'], ['Bxc4', 'cxd4\n'], ['exd4', 'a6'], ['a4', 'Nc6'], ['Bg5', 'Be7'], ['Re1', 'Bd7'], ['Qe2', 'Re8'], ['Rad1', 'Nd5'], ['Bd2', 'Bf6\n'], ['Qe4', 'Nxc3'], ['Bxc3', 'Qc7'], ['Ne5', 'Nxe5'], ['dxe5', 'Be7'], ['Rd3', 'Bxa4'], ['Rh3', 'g6'], ['Bxe6', 'fxe6\n'], ['Qxa4', 'Bc5'], ['Bd4', 'Rf8'], ['Bxc5', '']]",1/2-1/2
10th It,Lippstadt GER,2000.07.12,7,"Chiburdanidze,M","Speelman,J",,,E11,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'Bb4+'], ['Bd2', 'a5'], ['Nc3', 'b6'], ['e3', 'Bb7'], ['Bd3', 'O-O'], ['O-O', 'd6\n'], ['Qe2', 'Bxc3'], ['Bxc3', 'Ne4'], ['Bxe4', 'Bxe4'], ['Nd2', 'Bb7'], ['e4', 'Nd7'], ['d5', 'Qe7'], ['Qg4', 'e5\n'], ['f4', 'f6'], ['b3', 'exf4'], ['Qxf4', 'Rae8'], ['Rae1', 'Bc8'], ['Qg3', 'Ne5'], ['Nf3', 'Bd7'], ['a4', 'Nd3\n'], ['Re3', 'Nc5'], ['Nd2', 'Rc8'], ['Ref3', 'Kh8'], ['Qh4', 'Be8'], ['Rxf6', 'Rxf6'], ['Rxf6', 'Bg6'], ['Qh3', 'gxf6\n'], ['Qxc8+', 'Kg7'], ['Qg4', 'Nxe4'], ['Nxe4', 'Qxe4'], ['Qxe4', 'Bxe4'], ['b4', 'axb4'], ['Bxb4', 'Bd3\n'], ['a5', 'Bxc4'], ['axb6', 'cxb6'], ['Bxd6', 'Bxd5'], ['Kf2', 'Kf7'], ['g3', 'Ke6'], ['Bc7', 'b5'], ['Ke3', 'b4\n'], ['Kd2', 'h5'], ['h4', '']]",1/2-1/2
10th It,Lippstadt GER,2000.07.13,8,"Speelman,J","Brenke,A",,,A16,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'e5'], ['Nxe5', 'Nxe4'], ['Nxe4', 'Bxe5'], ['d4', 'Bg7'], ['Bg5', 'f6\n'], ['Be3', 'O-O'], ['Nc3', 'd6'], ['Be2', 'Nc6'], ['Qd2', 'Ne7'], ['g4', 'f5'], ['f3', 'a6'], ['h3', 'Be6'], ['d5', 'Bd7\n'], ['O-O', 'Rf7'], ['a4', 'Qf8'], ['Kg2', 'h6'], ['h4', 'Re8'], ['Rae1', 'h5'], ['g5', 'f4'], ['Bf2', 'Nf5'], ['Bd3', 'Be5\n'], ['Bxf5', 'Rxf5'], ['Bd4', 'Bxd4'], ['Qxd4', 'Rfe5'], ['Rxe5', 'dxe5'], ['Qd2', 'Bf5'], ['Re1', 'Qb4\n'], ['Ne4', 'Qxd2+'], ['Nxd2', 'b6'], ['Kf2', 'Kf8'], ['b4', 'Bd3'], ['Ra1', 'a5'], ['Ra3', 'e4'], ['fxe4', 'Bxe4\n'], ['bxa5', 'bxa5'], ['Rb3', 'Bc2'], ['Rf3', 'Ke7'], ['Rxf4', 'Rf8'], ['Rxf8', 'Kxf8'], ['Ke3', 'Bxa4'], ['Kd4', 'Ke7\n'], ['c5', 'Bc2'], ['Kc3', 'Bf5'], ['Nc4', 'a4'], ['Ne3', 'Bd7'], ['Kb4', 'Be8'], ['Nd1', 'Kd8'], ['Nc3', 'Kc8\n'], ['Nxa4', 'Kb7'], ['c6+', 'Bxc6'], ['Nc5+', 'Kb6'], ['dxc6', 'Kxc6'], ['Ne6', '']]",1-0
10th It,Lippstadt GER,2000.07.14,9,"Wehmeier,S","Speelman,J",,,B17,"[['e4', 'c6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Nd7'], ['Nf3', 'Ngf6'], ['Nxf6+', 'Nxf6'], ['c3', 'Bg4'], ['h3', 'Bh5\n'], ['Be2', 'e6'], ['Ne5', 'Bxe2'], ['Qxe2', 'Bd6'], ['Bd2', 'Qc7'], ['O-O', 'O-O'], ['c4', 'a5'], ['Bc3', 'Bb4\n'], ['a4', 'Rfd8'], ['Rfd1', 'Nd7'], ['Bxb4', 'axb4'], ['b3', 'Nxe5'], ['Qxe5', 'Qxe5'], ['dxe5', 'c5'], ['f4', 'Kf8']]",1/2-1/2
10th It,Lippstadt GER,2000.07.15,10,"Speelman,J","Luther,T",,,D46,"[['Nf3', 'd5'], ['c4', 'e6'], ['d4', 'Nf6'], ['Nc3', 'c6'], ['e3', 'Nbd7'], ['Qc2', 'Bd6'], ['Bd3', 'O-O'], ['O-O', 'dxc4\n'], ['Bxc4', 'a6'], ['Bd3', 'c5'], ['Bd2', 'Qc7'], ['Rac1', 'c4'], ['Ne4', 'Nxe4'], ['Bxe4', 'f5'], ['Bd3', 'b5\n'], ['b3', 'Bb7'], ['bxc4', 'Rf6'], ['Rfe1', 'Bxf3'], ['gxf3', 'Rg6+'], ['Kf1', 'Ba3'], ['cxb5', 'Qxh2'], ['Ke2', 'Bxc1\n'], ['Rxc1', 'axb5'], ['Qc6', 'Ra7'], ['Bxf5', 'Rf6'], ['Bxe6+', '']]",1-0
10th It,Lippstadt GER,2000.07.16,11,"McShane,L","Speelman,J",,,B17,"[['e4', 'c6'], ['d4', 'd5'], ['Nc3', 'dxe4'], ['Nxe4', 'Nd7'], ['Nf3', 'Ngf6'], ['Ng3', 'e6'], ['Bd3', 'c5'], ['O-O', 'a6\n'], ['c3', 'Be7'], ['Qe2', '']]",1/2-1/2
