WchT U26,Dresden,1969.??.??,?,"Aijala, Jouko","Ljubojevic, Ljubomir",,,B79,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bc4', 'Bd7'], ['Bb3', 'g6'], ['f3', 'Bg7\n'], ['Be3', 'Qa5'], ['Qd2', 'O-O'], ['O-O-O', 'Rfc8'], ['h4', 'Ne5'], ['g4', 'b5'], ['h5', 'Nc4'], ['Bxc4', 'bxc4\n'], ['hxg6', 'fxg6'], ['Qh2', 'Rab8'], ['Nd5', 'c3'], ['Nxf6+', 'exf6'], ['Qxh7+', 'Kf7'], ['Nf5', 'gxf5\n'], ['Rxd6', 'cxb2+'], ['Kb1', 'Qa4'], ['Rd2', 'Rh8']]",0-1
Amber-blind 3rd,Monte Carlo,1994.??.??,1,"Ljubojevic, Ljubomir","Kortschnoj, Viktor",,,A21,"[['c4', 'e5'], ['Nc3', 'Bb4'], ['Nd5', 'Be7'], ['Qc2', 'c6'], ['Nxe7', 'Qxe7'], ['g3', 'Nf6'], ['Bg2', 'O-O'], ['d3', 'd5\n'], ['Bg5', 'Na6'], ['a3', 'dxc4'], ['Qxc4', 'h6'], ['Bxf6', 'Qxf6'], ['Nf3', 'Nc7'], ['O-O', 'Re8'], ['Nd2', 'Be6\n'], ['Qb4', 'Nb5'], ['Ne4', 'Qe7'], ['Qxe7', 'Rxe7'], ['e3', 'Rd8'], ['Nc5', 'Bc8'], ['Rfc1', 'Nc7'], ['b4', 'b6\n'], ['Na4', 'Rxd3'], ['Bxc6', 'Bh3'], ['Nc3', 'f5'], ['Rc2', 'e4'], ['Nb5', 'Nxb5'], ['Bxb5', 'Rd8'], ['Rac1', 'Kh7\n'], ['Rc8', 'Rxc8'], ['Rxc8', 'h5'], ['Bf1', 'Bxf1'], ['Kxf1', 'Rd7'], ['Rc3', 'Kh6']]",1/2-1/2
Amber-rapid 3rd,Monte Carlo,1994.??.??,2,"Ljubojevic, Ljubomir","Piket, Jeroen",,,E81,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'Nbd7'], ['Qd2', 'c5'], ['Nh3', 'cxd4\n'], ['Bxd4', 'Ne5'], ['Nf2', 'Bd7'], ['Be2', 'Qa5'], ['Rc1', 'Rfc8'], ['b3', 'a6'], ['f4', 'Nc6'], ['Be3', 'b5\n'], ['Nd5', 'Qxd2+'], ['Kxd2', 'Nxd5'], ['cxd5', 'Nb4'], ['a3', 'Na2'], ['Rxc8+', 'Rxc8'], ['Rb1', 'Bc3+\n'], ['Kd3', 'e6'], ['g4', 'b4'], ['a4', 'Bg7'], ['Bf3', 'exd5'], ['exd5', 'Nc3'], ['Rc1', 'f5'], ['g5', 'h6'], ['h4', 'hxg5\n'], ['hxg5', 'Kf7'], ['Bb6', 'Rh8'], ['Rh1', 'Rc8'], ['Bd4', 'Na2'], ['Rh7', 'Nc1+'], ['Ke3', 'Rg8'], ['Bd1', 'a5\n'], ['Kd2', 'Na2'], ['Be2', 'Kf8'], ['Bxg7+', 'Rxg7'], ['Rxg7', 'Kxg7'], ['Nd1', 'Kf8'], ['Kc2', 'Ke7'], ['Kb2', 'Nc3\n'], ['Nxc3', 'bxc3+'], ['Kxc3', 'Kd8'], ['b4', 'Bxa4'], ['bxa5', 'Kc7'], ['Kb4', 'Bc2'], ['Bb5', 'Be4'], ['Kc4', 'Bf3\n'], ['Kd4', 'Kb7'], ['Be8', 'Bh5'], ['Kc4', 'Ka6'], ['Kb4', 'Kb7'], ['Bb5', 'Bf3'], ['Bc4', '']]",1-0
Amber-blind 3rd,Monte Carlo,1994.??.??,2,"Piket, Jeroen","Ljubojevic, Ljubomir",,,D98,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Nf3', 'Bg7'], ['Qb3', 'dxc4'], ['Qxc4', 'O-O'], ['e4', 'Bg4'], ['Be3', 'Nbd7\n'], ['Rd1', 'c6'], ['Be2', 'a5'], ['O-O', 'Rc8'], ['Qb3', 'b5'], ['h3', 'b4'], ['Na4', 'Be6'], ['Qc2', 'Bxa2'], ['b3', 'Bxb3\n'], ['Qxb3', 'Nxe4'], ['Nd2', 'Nxd2'], ['Rxd2', 'e6'], ['Rc1', 'Qh4'], ['Bf3', 'e5'], ['Bg4', 'Rcd8'], ['g3', 'Qe7\n'], ['d5', 'cxd5'], ['Rxd5', 'h5'], ['Bxd7', 'Rxd7'], ['Rxa5', 'Rfd8'], ['Nc5', 'Rd5'], ['Qxb4', 'Rd1+'], ['Rxd1', 'Rxd1+\n'], ['Kg2', 'Qd8'], ['Qa4', 'Kh7'], ['Ne4', 'Bh6'], ['Bxh6', 'Kxh6'], ['Rxe5', 'f5'], ['Nc3', 'Rd4'], ['Qe8', 'Qxe8\n'], ['Rxe8', 'h4'], ['Ne2', 'Rc4'], ['Nf4', 'hxg3'], ['fxg3', 'g5'], ['Re6+', 'Kh7'], ['Nd5', 'Kg7'], ['Ne3', 'Rc5\n'], ['Kf3', 'Kf7'], ['Rd6', 'Rc3'], ['Rd5', 'Ke6'], ['Rxf5', 'Rxe3+'], ['Kxe3', 'Kxf5'], ['Kd4', 'Ke6'], ['Ke4', 'Kf6\n'], ['Ke3', 'Ke5'], ['Kf3', 'Kf5'], ['Kf2', 'Kf6'], ['Kf1', 'Kf7'], ['Kg2', 'Ke6'], ['Kg1', 'Ke5'], ['Kf2', 'Kf6\n'], ['Ke3', 'Ke5'], ['Kd3', 'Kd5'], ['Ke2', 'Ke6'], ['Kd2', 'Kd6'], ['Ke1', 'Ke7'], ['Kf2', 'Kf6'], ['Kg2', 'Ke5\n'], ['Kf3', 'Kf5'], ['g4+', 'Ke5'], ['Kg3', 'Kf6'], ['Kf2', 'Ke6'], ['Kf3', 'Ke5'], ['Ke2', 'Ke6'], ['Kd3', 'Ke5\n'], ['Ke3', 'Kd5'], ['Kf2', 'Ke6'], ['Ke2', 'Ke5'], ['Kf3', 'Kf6'], ['Kg3', 'Kg7'], ['Kg2', 'Kf6'], ['Kf2', 'Ke5\n'], ['Ke3', 'Kd5'], ['Kd3', 'Ke5'], ['Ke2', 'Ke6'], ['Kf3', 'Kf6'], ['Ke4', 'Ke6'], ['Kd4', 'Kd6'], ['Kd3', 'Kd5\n'], ['Ke3', 'Ke5'], ['Kf2', 'Ke6'], ['Kg3', 'Kf6'], ['Kf2', 'Ke6'], ['Ke2', 'Ke5'], ['Ke3', 'Kd5'], ['Kf3', 'Ke5\n'], ['Kg3', 'Kf6'], ['h4', 'gxh4+'], ['Kxh4', 'Kg6'], ['g5', 'Kg7'], ['Kh5', 'Kh7'], ['g6+', 'Kg7'], ['Kg5', 'Kg8\n'], ['Kf6', 'Kf8'], ['g7+', 'Kg8'], ['Kg6', '']]",1/2-1/2
Monaco m,Monte Carlo,1994.??.??,2,"Ljubojevic, Ljubomir","Piket, Jeroen",,,C82,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['c3', 'Bc5'], ['Nbd2', 'O-O'], ['Bc2', 'Bf5'], ['Nb3', 'Bxf2+'], ['Rxf2', 'Nxf2'], ['Kxf2', 'Bxc2'], ['Qxc2', 'f6\n'], ['Qf5', 'Nxe5'], ['Be3', 'Re8'], ['Rd1', 'c6'], ['Bc5', 'Nc4'], ['Qb1', 'Qc7'], ['Nbd2', 'Na5'], ['Qd3', 'Nb7\n'], ['Be3', 'Re7'], ['Qd4', 'Rae8'], ['Qb6', 'Qd7'], ['Re1', 'Nd6'], ['Qxa6', 'Nf5'], ['Nf1', 'Re4'], ['Qb6', 'Qe6\n'], ['N3d2', 'd4'], ['cxd4', 'Rxe3'], ['Nxe3', 'Nxe3'], ['Kg1', 'Qd7'], ['Qc5', 'Nd5'], ['Rxe8+', 'Qxe8\n'], ['Nf3', 'Qe3+'], ['Kf1', 'Qd3+'], ['Kf2', 'Qe3+'], ['Kf1', 'Qe4'], ['Qc1', 'g5'], ['h3', 'Kf7'], ['a3', 'h5\n'], ['Qe1', 'Qd3+'], ['Kg1', 'Ne3'], ['Qf2', 'Ke6'], ['Qe1', 'Kd7'], ['Kf2', 'Nd1+'], ['Kg3', 'Ne3'], ['Qa5', 'Nf5+\n'], ['Kh2', 'g4'], ['hxg4', 'hxg4'], ['Qd2', 'Qe4'], ['Ne1', 'g3+'], ['Kg1', 'Qxd4+'], ['Qxd4+', 'Nxd4'], ['Nd3', 'Kd6\n'], ['Kf1', 'Kd5'], ['Ke1', 'Kc4'], ['Kd2', 'Nf3+'], ['Kc2', 'Nd4+'], ['Kd2', 'Kb3'], ['Kc1', 'Ne6'], ['Kb1', 'f5\n'], ['Nc1+', 'Kc4'], ['b3+', 'Kc3'], ['a4', 'Kd2'], ['a5', 'f4']]",0-1
Amber-blind 3rd,Monte Carlo,1994.??.??,3,"Ljubojevic, Ljubomir","Kramnik, Vladimir",,,A04,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['g3', 'Nf6'], ['d3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'd6'], ['Re1', 'Bg4'], ['h3', 'Bxf3\n'], ['Qxf3', 'O-O'], ['c3', 'Rb8'], ['Qd1', 'Nd7'], ['Be3', 'b5'], ['d4', 'b4'], ['e5', 'bxc3'], ['bxc3', 'Qc7\n'], ['exd6', 'exd6'], ['Na3', 'Rfc8'], ['Rc1', 'Na5'], ['Qa4', 'a6'], ['Rb1', 'Nc6'], ['Rxb8', 'Ncxb8'], ['Rb1', 'Qd8\n'], ['Nc4', 'cxd4'], ['cxd4', 'Nf8'], ['Nb6', 'Rc7'], ['Nd5', 'Rc8'], ['Rb7', 'Nfd7'], ['Qb3', 'Nc6'], ['Nb6', 'Na5\n'], ['Rxd7', 'Nxb3'], ['Rxd8+', 'Rxd8'], ['axb3', 'd5'], ['Nxd5', 'Rb8'], ['b4', 'Bf8'], ['Bd2', 'Rc8'], ['Kf1', 'Rc4\n'], ['Bc3', 'Bxb4'], ['Bxb4', 'Rxd4'], ['Ne7+', '']]",1-0
Monaco m,Monte Carlo,1994.??.??,3,"Piket, Jeroen","Ljubojevic, Ljubomir",,,E12,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['a3', 'Ba6'], ['Qc2', 'Bb7'], ['Nc3', 'c5'], ['e4', 'cxd4'], ['Nxd4', 'd6\n'], ['Be2', 'Be7'], ['O-O', 'O-O'], ['Be3', 'a6'], ['Rfd1', 'Qc7'], ['Rac1', 'Nbd7'], ['f3', 'Rfc8'], ['Bf1', 'Qd8\n'], ['Qf2', 'Rab8'], ['Kh1', 'Ba8'], ['Qg3', 'Rc7'], ['b4', 'Qe8'], ['b5', 'a5'], ['Nb3', 'Rcc8'], ['Na4', 'Qf8\n'], ['Qf2', 'Bd8'], ['Bd4', 'Bc7'], ['Bb2', 'Qe7'], ['Rc2', 'Nf8'], ['Rcd2', 'Ng6'], ['Kg1', 'Nd7'], ['Nd4', 'Rd8\n'], ['Nc2', 'Rbc8'], ['Ne3', 'h5'], ['g3', 'h4'], ['Bg2', 'Nf6'], ['Bxf6', 'hxg3'], ['hxg3', 'gxf6'], ['f4', 'Kg7\n'], ['Nc3', 'Qf8'], ['Ne2', '']]",1/2-1/2
Amber-rapid 3rd,Monte Carlo,1994.??.??,3,"Kramnik, Vladimir","Ljubojevic, Ljubomir",,,B39,"[['Nf3', 'c5'], ['c4', 'g6'], ['e4', 'Bg7'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Be3', 'Nf6'], ['Nc3', 'Ng4'], ['Qxg4', 'Nxd4\n'], ['Qd1', 'Ne6'], ['Qd2', 'Qa5'], ['Rc1', 'b6'], ['Be2', 'Bb7'], ['f3', 'h5'], ['b3', 'h4'], ['Nd5', 'Qxd2+\n'], ['Kxd2', 'Bh6'], ['Rhd1', 'Bxe3+'], ['Kxe3', 'g5'], ['b4', 'd6'], ['c5', 'bxc5'], ['bxc5', 'dxc5'], ['Nc3', 'Bc6\n'], ['Bc4', 'Nd4'], ['Ne2', 'e5'], ['Ba6', 'Ba4'], ['Rd2', 'Rh6'], ['Bb7', 'Rb8'], ['Bd5', 'Rc8'], ['Nc3', 'Bd7\n'], ['Bc4', 'Bc6'], ['h3', 'Rd6'], ['Rb2', 'Ke7'], ['Nd1', 'f5'], ['Nc3', 'fxe4'], ['fxe4', 'Rf8'], ['Bd5', 'Bd7\n'], ['Bc4', 'Bc6'], ['Bd5', 'Kd7'], ['Bxc6+', 'Kxc6'], ['Na4', 'Ne6'], ['Nxc5', 'Nxc5'], ['Rbc2', 'Rd3+\n'], ['Ke2', 'Rg3'], ['Rxc5+', 'Kb6'], ['Rxe5', 'Rxg2+'], ['Ke3', '']]",1/2-1/2
Amber-rapid 3rd,Monte Carlo,1994.??.??,4,"Ljubojevic, Ljubomir","Kamsky, Gata",,,E81,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['e4', 'd6'], ['d4', 'Bg7'], ['f3', 'O-O'], ['Be3', 'c5'], ['Nge2', 'Nc6'], ['d5', 'Ne5\n'], ['Nf4', 'a6'], ['a4', 'e6'], ['Be2', 'exd5'], ['Nfxd5', 'Nxd5'], ['Nxd5', 'Nc6'], ['Rb1', 'Be6'], ['O-O', 'Nd4\n'], ['b4', 'b6'], ['Bd3', 'Nc6'], ['bxc5', 'bxc5'], ['Kh1', 'Rb8'], ['Qd2', 'Qd7'], ['Nb6', 'Qa7'], ['a5', 'Qc7\n'], ['Bc2', 'Nd4'], ['Ba4', 'f5'], ['exf5', 'Rxf5'], ['Rbe1', 'Qf7'], ['Bxd4', 'cxd4'], ['Bc2', 'Rc5'], ['Bd3', 'Rf8\n'], ['f4', 'Kh8'], ['Qe2', 'Bf5'], ['Bxf5', 'Qxf5'], ['Qe7', 'Rxa5'], ['Qxd6', 'Ra2'], ['c5', 'Qc2'], ['Qd5', 'd3\n'], ['Nd7', 'd2'], ['Rd1', 'Rd8'], ['c6', 'Ra1'], ['Rxa1', 'Bxa1'], ['Qa5', 'Bf6'], ['Qd5', 'Bg7'], ['Kg1', 'Qc3\n'], ['h3', 'Qe3+'], ['Kh2', 'Qe2'], ['c7', 'Re8'], ['Ne5', 'Bxe5'], ['Qxe5+', 'Rxe5'], ['c8=Q+', 'Re8'], ['Qc3+', 'Kg8\n'], ['Qb3+', 'Kg7'], ['Rd1', 'Kh6'], ['Qc2', 'Rd8'], ['Qc5', 'Qe8'], ['Qf2', 'Qd7'], ['Rxd2', 'Qxd2'], ['Qh4+', 'Kg7\n'], ['Qe7+', 'Kg8'], ['Qe6+', 'Kf8'], ['Qf6+', 'Ke8'], ['Qe6+', '']]",1/2-1/2
Monaco m,Monte Carlo,1994.??.??,4,"Ljubojevic, Ljubomir","Piket, Jeroen",,,C92,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Be6'], ['a4', 'Bxb3'], ['Qxb3', 'Na5'], ['Qc2', 'c5'], ['d3', 'Nc6'], ['Na3', 'Rb8'], ['Bd2', 'Qd7\n'], ['axb5', 'axb5'], ['c4', 'bxc4'], ['Nxc4', 'Ne8'], ['Qa4', 'Nc7'], ['Na5', 'Rb5'], ['Nxc6', 'Qxc6'], ['b4', 'Ne6\n'], ['bxc5', 'Nxc5'], ['Qc4', 'Qb7'], ['Be3', 'Rb4'], ['Qc2', 'Rb2'], ['Qc4', 'Rb4'], ['Qc2', 'Rb2']]",1/2-1/2
Amber-blind 3rd,Monte Carlo,1994.??.??,4,"Kamsky, Gata","Ljubojevic, Ljubomir",,,B70,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'g6'], ['O-O', 'Bg7'], ['a4', 'O-O\n'], ['Be3', 'Nc6'], ['Qd2', 'Bd7'], ['f3', 'Rc8'], ['Rfd1', 'Ne5'], ['a5', 'Nc4'], ['Bxc4', 'Rxc4'], ['Nb3', 'Qc7\n'], ['Bb6', 'Qc8'], ['Nd4', 'Be6'], ['Na4', 'Nd7'], ['c3', 'Qe8'], ['Nxe6', 'fxe6'], ['Be3', 'Ne5'], ['Nb6', 'Rc6\n'], ['Qe2', 'Nd7'], ['Rac1', 'Be5'], ['Nxd7', 'Qxd7'], ['c4', 'Bf4'], ['Bxf4', 'Rxf4'], ['b3', 'Rf8'], ['e5', 'Qc8\n'], ['exd6', 'exd6'], ['Rd4', 'Rf5'], ['b4', 'Re5'], ['Qd2', 'd5'], ['g4', 'Qf8'], ['f4', 'Re4'], ['Rxe4', 'dxe4\n'], ['c5', 'Rc7'], ['Re1', 'Rf7'], ['Rxe4', 'g5'], ['Qd6', 'gxf4'], ['Qxf8+', 'Kxf8'], ['Rxe6', 'h5'], ['g5', 'h4\n'], ['Rf6', 'Rxf6'], ['gxf6', 'Kf7'], ['b5', 'axb5'], ['c6', 'bxc6'], ['a6', '']]",1-0
Monaco m,Monte Carlo,1994.??.??,5,"Piket, Jeroen","Ljubojevic, Ljubomir",,,E23,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qb3', 'c5'], ['dxc5', 'Nc6'], ['Nf3', 'Qa5'], ['Bd2', 'Qxc5'], ['e3', 'O-O\n'], ['a3', 'Bxc3'], ['Bxc3', 'Ne4'], ['Bd3', 'Nxc3'], ['Qxc3', 'b6'], ['O-O', 'Bb7'], ['Rfd1', 'Rac8'], ['Rac1', 'Rfd8\n'], ['b4', 'Qf8'], ['c5', 'Nb8'], ['Qd4', 'Bxf3'], ['gxf3', 'bxc5'], ['Rxc5', 'Rxc5'], ['Qxc5', 'Qxc5'], ['bxc5', 'Kf8\n'], ['Rb1', 'Nc6'], ['Rb7', 'Rb8'], ['Rxd7', 'Ne5'], ['Rd6', 'Nxf3+'], ['Kg2', 'Ne5'], ['f4', 'Nxd3'], ['Rxd3', 'Rc8\n'], ['Rc3', 'Ke7'], ['Kf3', 'Kd7'], ['Rc4', 'Kc6'], ['Ra4', 'Rc7'], ['Ra5', 'Kb7'], ['Ke4', 'Rd7'], ['Rb5+', 'Kc6\n'], ['Ra5', 'Kb7'], ['Rb5+', 'Kc7'], ['Ra5', 'Kc6'], ['h4', 'h6'], ['Ke5', 'Rd5+'], ['Ke4', 'f5+'], ['Kf3', 'Rd7\n'], ['h5', 'Kd5'], ['Ke2', 'Kc6']]",1/2-1/2
Amber-rapid 3rd,Monte Carlo,1994.??.??,5,"Polgar, Zsuzsa","Ljubojevic, Ljubomir",,,A70,"[['d4', 'g6'], ['c4', 'Bg7'], ['Nf3', 'c5'], ['d5', 'd6'], ['e4', 'Nf6'], ['Nc3', 'O-O'], ['h3', 'Re8'], ['Bd3', 'e6'], ['O-O', 'exd5\n'], ['cxd5', 'c4'], ['Bc2', 'Bd7'], ['Bf4', 'Qb6'], ['Rb1', 'Na6'], ['b4', 'cxb3'], ['Rxb3', 'Qc7'], ['Re1', 'Nc5\n'], ['Rb1', 'Nh5'], ['Bd2', 'Rac8'], ['Rc1', 'b5'], ['a3', 'a5'], ['Ne2', 'Qb6'], ['Be3', 'Qb8'], ['Nd2', 'Bb2\n'], ['Rb1', 'Bxa3'], ['g4', 'Nf6'], ['Ng3', 'Rf8'], ['Bh6', 'Ne8'], ['Bxf8', 'Kxf8'], ['Qf3', 'Bb4'], ['Qe3', 'Kg8\n'], ['Kh2', 'Qc7'], ['Rg1', 'Bxd2'], ['Qxd2', 'Qd8'], ['Nf5', 'b4'], ['Qd4', 'Bxf5'], ['gxf5', 'Qf6'], ['Qe3', 'b3\n'], ['Bxb3', 'Qe5+'], ['f4', 'Qxe4'], ['Qxe4', 'Nxe4'], ['fxg6', 'hxg6'], ['Rgc1', 'Nc5'], ['Ba4', 'Nf6\n'], ['Bc6', 'Kg7'], ['Kg2', 'Nfe4'], ['Rc2', 'Rh8'], ['Ra1', 'Rh4'], ['Rxa5', 'Nd3'], ['Kh2', 'Nxf4'], ['Ra3', 'g5\n'], ['Ra4', 'Rxh3+'], ['Kg1', 'Nc3'], ['Ra7', 'Nce2+'], ['Kf1', 'Ng3+'], ['Ke1', 'Ne4'], ['Bb5', 'Rh1+'], ['Bf1', 'Ng3\n'], ['Kf2', 'Nxf1'], ['Rcc7', 'Nd2'], ['Rxf7+', 'Kg6'], ['Rg7+', 'Kf5'], ['Raf7+', 'Kg4'], ['Ke3', 'Nc4+\n'], ['Kd4', 'Ne5'], ['Rf8', 'Rd1+'], ['Ke4', 'Re1+'], ['Kd4', 'Nf3+'], ['Kc4', 'Rc1+'], ['Kb3', 'Nd2+'], ['Kb2', 'Nd3+\n'], ['Ka2', 'Rc2+'], ['Ka3', 'Rc5'], ['Ka4', 'Rxd5'], ['Rb8', 'Kg3'], ['Rb5', 'Rxb5'], ['Kxb5', 'g4'], ['Kc6', 'Ne4\n'], ['Kd5', 'Kf3'], ['Ke6', 'g3'], ['Kf5', 'Ndf2']]",0-1
Amber-blind 3rd,Monte Carlo,1994.??.??,5,"Ljubojevic, Ljubomir","Polgar, Zsuzsa",,,A07,"[['Nf3', 'd5'], ['g3', 'c6'], ['Bg2', 'Bg4'], ['d3', 'Nd7'], ['Nbd2', 'Ngf6'], ['O-O', 'e6'], ['h3', 'Bxf3'], ['Nxf3', 'Bd6\n'], ['e4', 'O-O'], ['Re1', 'e5'], ['Nh4', 'Re8'], ['Nf5', 'Bf8'], ['exd5', 'cxd5'], ['c4', 'dxc4'], ['dxc4', 'e4\n'], ['Nd6', 'Bxd6'], ['Qxd6', 'Re6'], ['Qd4', 'Qe7'], ['Bg5', 'h6'], ['Bxf6', 'Nxf6'], ['Rad1', 'b6'], ['a3', 'a5\n'], ['Re3', 'Re8'], ['Rde1', 'Rd8'], ['Qc3', 'Qd7'], ['Bxe4', 'Nxe4'], ['Rxe4', 'Rxe4'], ['Rxe4', 'Qxh3\n'], ['Rd4', 'Re8'], ['Qd2', 'Qc8'], ['b4', 'axb4'], ['axb4', 'Qc7'], ['Qd3', 'Qe7'], ['b5', 'g6'], ['Rd6', 'Qg5\n'], ['Kg2', 'Qc5'], ['Rc6', 'Qh5'], ['Qf3', 'Qg5'], ['Rxb6', 'Qc1'], ['Qd5', 'Qc2'], ['Rb7', 'Qe4+'], ['Qxe4', 'Rxe4\n'], ['Rc7', '']]",1-0
Monaco m,Monte Carlo,1994.??.??,6,"Ljubojevic, Ljubomir","Piket, Jeroen",,,A53,"[['d4', 'Nf6'], ['c4', 'c6'], ['Bf4', 'd6'], ['Nc3', 'g6'], ['Qd2', 'Nbd7'], ['Bh6', 'Bxh6'], ['Qxh6', 'b5'], ['Nf3', 'Bb7\n'], ['e3', 'b4'], ['Na4', 'c5'], ['b3', 'e5'], ['d5', 'Qe7'], ['Nd2', 'Ng4'], ['Qh3', 'f5'], ['Be2', 'Ngf6'], ['a3', 'a5\n'], ['f3', 'Kd8'], ['O-O', 'Kc7'], ['Qg3', 'Qg7'], ['Ra2', 'h5'], ['h4', 'Rhe8'], ['Kf2', 'Re7'], ['Ke1', 'Rae8\n'], ['Rf2', 'Nh7'], ['Kd1', 'Qh6'], ['e4', 'Qe3'], ['Rf1', 'fxe4'], ['Qxg6', 'Nhf6'], ['fxe4', 'Rg8'], ['Qf5', 'Rxg2\n'], ['Qf3', 'Qxf3'], ['Bxf3', 'Rh2'], ['Rh1', 'Rxh1+'], ['Bxh1', 'Rg7'], ['Ke2', 'Rg4'], ['Bf3', 'Rxh4'], ['Kf2', 'Nf8\n'], ['axb4', 'axb4'], ['Kg3', 'Ng6'], ['Nb2', 'Bc8'], ['Ra7+', 'Kd8'], ['Rf7', 'Rh3+'], ['Kf2', 'Ng4+'], ['Ke1', 'Ke8\n'], ['Rh7', 'Nh4'], ['Rh8+', 'Ke7']]",0-1
Amber-blind 3rd,Monte Carlo,1994.??.??,6,"Ljubojevic, Ljubomir","Polgar, Judit",,,B22,"[['e4', 'c5'], ['c3', 'd6'], ['d4', 'Nf6'], ['Bd3', 'g6'], ['h3', 'Bg7'], ['Nf3', 'O-O'], ['O-O', 'Qc7'], ['Qe2', 'a6'], ['Bf4', 'b5\n'], ['e5', 'Nd5'], ['Bg3', 'Qb6'], ['Nbd2', 'cxd4'], ['cxd4', 'Nb4'], ['Be4', 'd5'], ['Bb1', 'a5'], ['Nb3', 'a4\n'], ['Nc5', 'N8c6'], ['Qe3', 'Na5'], ['Bf4', 'Nc4'], ['Qc3', 'Nc6'], ['a3', 'f6'], ['exf6', 'Rxf6'], ['Bg5', 'Rf7\n'], ['Be3', 'Rxf3'], ['gxf3', 'e5'], ['dxe5', 'Bxe5'], ['Nd3', 'd4'], ['Nxe5', 'N4xe5'], ['Ba2+', 'Kg7'], ['Bd5', 'Ra6\n'], ['f4', 'Nc4'], ['Bxc6', 'dxc3'], ['Bxb6', 'Rxb6'], ['Bxb5', 'Rxb5'], ['bxc3', 'Bxh3'], ['Rfd1', 'Rb3\n'], ['Rd4', 'Rxc3'], ['Rad1', 'Bf5'], ['Re1', 'Nb2'], ['Re3', 'Rxe3'], ['fxe3', 'Be6'], ['e4', 'Bb3'], ['Rd7+', 'Kf6\n'], ['Rxh7', 'Nc4'], ['e5+', 'Ke6'], ['Rg7', 'Bc2'], ['Rc7', 'Nxa3'], ['Rc3', 'Bb3'], ['Rc6+', 'Kf7'], ['Rc7+', 'Kf8\n'], ['Rc6', 'Kg7'], ['Rc7+', 'Kh6'], ['Rc6', 'Kg7'], ['Rc7+', 'Kf8'], ['Rc6', 'Bf7'], ['Ra6', 'Be8'], ['Ra7', 'Nc2\n'], ['Kf2', 'a3'], ['Ke2', 'Nd4+'], ['Kd2', 'Nb5'], ['Ra6', 'Ke7'], ['e6', 'Nd6'], ['Kc2', 'Nc4'], ['Kc3', 'Bb5\n'], ['Ra7+', 'Kxe6'], ['Kb4', 'Nd6'], ['Rxa3', 'Be8'], ['Ra5', 'Nb5'], ['Kc5', 'Kf5'], ['Ra8', 'Nc7'], ['Rc8', 'Ne6+\n'], ['Kd6', 'Ba4'], ['Ra8', 'Bd1'], ['Ra5+', 'Kf6'], ['Ra1', 'Be2'], ['Ra4', 'Bd1'], ['Re4', 'Ng7'], ['Re1', 'Bf3\n'], ['Rf1', 'Be4'], ['Re1', 'Kf5'], ['Ke7', 'Nh5'], ['Rg1', 'Nxf4'], ['Rxg6', 'Nxg6+'], ['Kd6', 'Kf6'], ['Kc5', 'Ke5\n'], ['Kc4', 'Bd5+'], ['Kd3', 'Nf4+'], ['Ke3', 'Be4'], ['Kd2', 'Kd4'], ['Kc1', 'Kc3'], ['Kd1', 'Bc2+'], ['Ke1', 'Kd3\n'], ['Kf2', 'Ke4'], ['Kg3', 'Bd1'], ['Kf2', 'Nd3+'], ['Kg3', 'Ke3'], ['Kh4', 'Kf4'], ['Kh3', 'Ne1'], ['Kh4', 'Ng2+\n'], ['Kh3', 'Kf3'], ['Kh2', 'Kf2'], ['Kh3', 'Be2'], ['Kh2', 'Bg4'], ['Kh1', 'Ne3'], ['Kh2', 'Nf1+\n'], ['Kh1', 'Bf3+']]",0-1
