Paris,Paris,1821.??.??,?,"De Labourdonnais, Louis","Cochrane, James",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['Ne5', 'Qh4+'], ['Kf1', 'f3'], ['g3', 'Qh3+'], ['Kf2', 'Qg2+\n'], ['Ke3', 'Bh6+'], ['Kd3', 'd5'], ['Bxd5', 'Na6'], ['c3', 'c6'], ['Bxf7+', 'Ke7'], ['Bb3', 'Nc5+'], ['Kc2', 'Nxe4\n'], ['Qf1', 'Bf5'], ['Qxg2', 'Nf2+'], ['d3', 'fxg2'], ['Rg1', 'Rd8'], ['Bxh6', 'Nxh6'], ['Rxg2', 'Nxd3'], ['Nxd3', 'Bxd3+\n'], ['Kc1', 'Rhf8'], ['Nd2', 'Nf5'], ['Bd1', 'Ne3'], ['Rg1', 'Bf1'], ['b3', 'Rf2'], ['Rxf1', 'Nxf1'], ['Nxf1', 'Rxd1+\n'], ['Kxd1', 'Rxf1+']]",0-1
London m4,London,1834.??.??,55,"De Labourdonnais, Louis","McDonnell, Alexander",,,C38,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'Bg7'], ['h4', 'h6'], ['d4', 'd6'], ['c3', 'Nc6'], ['hxg5', 'hxg5\n'], ['Rxh8', 'Bxh8'], ['Qe2', 'Qe7'], ['Na3', 'Bg4'], ['Bd2', 'O-O-O'], ['O-O-O', 'Nf6'], ['Bd3', 'Re8'], ['Re1', 'Nh5\n'], ['Qf2', 'Bxf3'], ['gxf3', 'a6'], ['Bc2', 'Ng3'], ['Ba4', 'Bg7'], ['d5', 'Nb8'], ['Bxe8', 'Qxe8'], ['Qg2', 'Qh8\n'], ['Rd1', 'f5'], ['Be1', 'Be5'], ['exf5', 'Qh7'], ['Nc4', 'Qxf5'], ['Nxe5', 'Qxe5'], ['Bxg3', 'fxg3'], ['Rg1', 'Qxd5\n'], ['Qxg3', 'b6'], ['Qg4+', 'Nd7'], ['Rd1', 'Qe5'], ['Rg1', 'Qe3+'], ['Kb1', 'c6'], ['Rh1', 'Kc7'], ['a3', 'b5\n'], ['Ka2', 'Qe8'], ['Qf5', 'Qe2'], ['Qxg5', 'Qxf3'], ['Rh6', 'Qe4'], ['Qg8', 'Qe2'], ['Rh8', 'Kb6'], ['Rh7', 'Kc7\n'], ['Qf7', 'Kb6'], ['Rg7', 'Qe4'], ['Qf2+', 'Nc5'], ['Rg1', 'Qc4+'], ['Ka1', 'a5'], ['Rd1', 'Kc7'], ['Qf6', 'Nb7\n'], ['Rg1', 'c5'], ['Rg7+', 'Kb6'], ['Qf7', 'Qe4'], ['Ka2', 'a4'], ['Rg8', 'Qc6'], ['Qe6', 'Qf3'], ['Rc8', 'Qh1\n'], ['Qf7', 'Ka7'], ['c4', 'Qh3'], ['Rc7', 'Qb3+'], ['Kb1', 'bxc4'], ['Qd5', 'Qb6'], ['Qc6', 'Qxc6'], ['Rxc6', 'd5\n'], ['Kc2', 'd4'], ['Kd1', 'Kb8'], ['Ra6', 'Kc7'], ['Rxa4', 'Nd6'], ['Ra6', 'Ne4'], ['Kc2', 'Nd6'], ['a4', 'Nc8\n'], ['a5', 'Kb7'], ['Rf6', 'Na7'], ['b3', 'c3'], ['b4', 'cxb4'], ['Rb6+', 'Kc7'], ['Rxb4', 'Nc6'], ['Rb5', 'Na7\n'], ['Rb1', 'Kc6'], ['a6', 'Nc8'], ['Kd3', 'Kc7'], ['Kxd4', 'c2'], ['Rc1', 'Kb6'], ['Rxc2', 'Na7'], ['Ra2', 'Nc6+\n'], ['Kc4', 'Na7'], ['Ra1', 'Nc6'], ['Ra3', 'Na7'], ['Kd5', 'Nb5'], ['Rb3', 'Kxa6'], ['Kc5', 'Na7'], ['Rb8', 'Ka5']]",1/2-1/2
London m4,London,1834.??.??,56,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['Bb2', 'Nf6'], ['d5', 'Na5'], ['Bd3', 'O-O'], ['h3', 'Nh5'], ['Qd2', 'f5'], ['Nc3', 'f4'], ['Rfe1', 'a6'], ['e5', 'Bf5\n'], ['e6', 'Qe7'], ['Na4', 'Bxd3'], ['Qxd3', 'Ba7'], ['Bc3', 'b6'], ['Nd4', 'Qg5'], ['Nf3', 'Qf5'], ['Qxf5', 'Rxf5\n'], ['Bxa5', 'bxa5'], ['Rac1', 'Rc8'], ['Rc6', 'Rxd5'], ['Rec1', 'Ng3'], ['Re1', 'Nf5'], ['e7', 'Re8'], ['Rxc7', 'Bd4\n'], ['Ng5', 'h6'], ['Rc8', 'hxg5'], ['Rxe8+', 'Kh7'], ['Rh8+', 'Kxh8'], ['e8=Q+', 'Kh7'], ['Qf7', 'Rb5'], ['Re6', '']]",1-0
London m4,London,1834.??.??,57,"McDonnell, Alexander","De Labourdonnais, Louis",,,B32,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nxc6', 'bxc6'], ['Bc4', 'Nf6'], ['Bg5', 'Bc5'], ['O-O', 'h6\n'], ['Bxf6', 'Qxf6'], ['Nc3', 'a5'], ['Kh1', 'd6'], ['Qd2', 'g5'], ['Rad1', 'Ke7'], ['Na4', 'Bd4'], ['Qd3', 'h5\n'], ['Qb3', 'h4'], ['f3', 'h3'], ['g3', 'Bd7'], ['c3', 'Rab8'], ['Qc2', 'Ba7'], ['Qd2', 'Rhg8'], ['b3', 'Rbd8\n'], ['Nb2', 'Rg7'], ['Be2', 'Qg6'], ['Nc4', 'Bc5'], ['Nxa5', 'Rb8'], ['b4', 'Bb6'], ['Nc4', 'Qf6'], ['Nxd6', 'Rgg8\n'], ['Nxf7', 'Be6'], ['Nd6', 'Rgd8'], ['c4', 'Bxc4'], ['Bxc4', 'Rxd6'], ['Qxd6+', 'Qxd6'], ['Rxd6', 'Kxd6\n'], ['Rb1', 'Bd4'], ['Bf1', 'Ra8'], ['Bxh3', 'Rxa2'], ['Bg2', 'Rb2'], ['Rxb2', 'Bxb2'], ['Bf1', 'Ke6'], ['Kg2', 'Kf6\n'], ['Kh3', 'Bc3'], ['b5', 'cxb5'], ['Bxb5', 'Bd4'], ['Kg4', 'Be3'], ['h4', 'gxh4'], ['Kxh4', 'Bc5'], ['Kg4', 'Bf2\n'], ['f4', 'Bd4'], ['Kf3', 'Bc3'], ['Kg4', 'Bd4'], ['Kh5', 'Bf2'], ['Kg4', 'Bd4'], ['Bd3', 'Be3'], ['Kf3', 'Bd2']]",1/2-1/2
London m4,London,1834.??.??,58,"McDonnell, Alexander","De Labourdonnais, Louis",,,B32,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nxd4'], ['Qxd4', 'e6'], ['Bc4', 'Ne7'], ['Nc3', 'Nc6'], ['Qd1', 'Bc5\n'], ['O-O', 'O-O'], ['Kh1', 'f5'], ['exf5', 'Rxf5'], ['Bd3', 'Rf8'], ['Qh5', 'Rf5'], ['Bxf5', 'exf5'], ['Qxf5', 'd6\n'], ['Qd5+', 'Kh8'], ['Bg5', 'Qf8'], ['Ne4', 'Nb4'], ['Qb3', 'Bf5'], ['Rae1', 'Bd7'], ['a4', '']]",1-0
London m4,London,1834.??.??,59,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['d5', 'Ne5'], ['Nxe5', 'dxe5'], ['Nd2', 'Ne7'], ['Nf3', 'Qd6'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Kxd7'], ['Qa4+', 'Kd8\n'], ['Ba3', 'Qf6'], ['d6', 'Nc6'], ['Rad1', 'Nd4'], ['Nxd4', 'Bxd4'], ['Kh1', 'c5'], ['Rxd4', 'cxd4'], ['f4', 'exf4\n'], ['Bc5', 'd3'], ['Bb6+', 'axb6'], ['Qxa8+', 'Kd7'], ['Qxh8', 'f3'], ['gxf3', 'd2'], ['Qb8', 'Qxf3+'], ['Rxf3', 'd1=Q+\n'], ['Kg2', 'Qd2+'], ['Rf2', 'Qg5+'], ['Kf3', 'Qf6+'], ['Ke2', 'Qb2+'], ['Kf1', 'Qc1+'], ['Ke2', 'Qb2+'], ['Kd3', 'Qa3+\n'], ['Ke2', 'Qb2+'], ['Kf3', 'Qf6+'], ['Kg4', 'Qg6+']]",1/2-1/2
London m4,London,1834.??.??,60,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['d5', 'Ne5'], ['Nxe5', 'dxe5'], ['Nd2', 'Qf6'], ['Nf3', 'Ne7'], ['Bb2', 'Ng6'], ['Kh1', 'O-O'], ['Nxe5', 'Nxe5\n'], ['f4', 'Nxc4'], ['Bxf6', 'gxf6'], ['Rf3', 'Kh8'], ['Qd3', 'Nd6'], ['f5', 'Rg8'], ['Rf4', 'Bd7'], ['Qc3', 'Rg7\n'], ['Qxf6', 'Rg8'], ['Rh4', 'Be3'], ['Qc3', 'Bg5'], ['Rg4', 'f6'], ['h4', 'h5'], ['hxg5', 'hxg4'], ['g6', 'Nxe4\n'], ['Qxc7', 'Re8'], ['Rf1', 'g3'], ['Qf4', 'Kg8'], ['Kg1', 'Re5'], ['Qe3', 'b6'], ['Qd4', 'Nd6'], ['Qh4', 'Ne4\n'], ['d6', 'a5'], ['Rf4', 'Nc3'], ['Rf1', 'Ne2+'], ['Kh1', 'Bxf5'], ['Rxf5', 'Re8'], ['Qc4+', '']]",1-0
London m4,London,1834.??.??,61,"McDonnell, Alexander","De Labourdonnais, Louis",,,B32,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nxc6', 'bxc6'], ['Bc4', 'Nf6'], ['Qe2', 'Be7'], ['Nc3', 'O-O\n'], ['Bg5', 'Nxe4'], ['Bxe7', 'Nxc3'], ['Qxe5', 'Re8'], ['O-O', 'Qxe7'], ['Qxc3', 'd5'], ['Bd3', 'Qd6'], ['Rad1', 'Bd7\n'], ['Qd4', 'c5'], ['Qh4', 'g6'], ['c3', 'Bc6'], ['f4', 'c4'], ['Bb1', 'Re2'], ['Rf2', 'Rae8'], ['f5', 'Qe5'], ['Rdf1', 'Qe3\n'], ['fxg6', 'fxg6'], ['Qf6', 'Rxf2'], ['Qxf2', 'Kg7'], ['Qxe3', 'Rxe3'], ['Kf2', 'Re5'], ['Re1', 'Rxe1\n'], ['Kxe1', '']]",1/2-1/2
London m4,London,1834.??.??,62,"McDonnell, Alexander","De Labourdonnais, Louis",,,B32,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nxc6', 'bxc6'], ['Bc4', 'Nf6'], ['Bg5', 'Be7'], ['Qe2', 'd5\n'], ['Bxf6', 'Bxf6'], ['Bb3', 'O-O'], ['O-O', 'a5'], ['exd5', 'cxd5'], ['Rd1', 'd4'], ['c4', 'Qb6'], ['Bc2', 'Bb7\n'], ['Nd2', 'Rae8'], ['Ne4', 'Bd8'], ['c5', 'Qc6'], ['f3', 'Be7'], ['Rac1', 'f5'], ['Qc4+', 'Kh8'], ['Ba4', 'Qh6\n'], ['Bxe8', 'fxe4'], ['c6', 'exf3'], ['Rc2', 'Qe3+'], ['Kh1', 'Bc8'], ['Bd7', 'f2'], ['Rf1', 'd3'], ['Rc3', 'Bxd7\n'], ['cxd7', 'e4'], ['Qc8', 'Bd8'], ['Qc4', 'Qe1'], ['Rc1', 'd2'], ['Qc5', 'Rg8'], ['Rd1', 'e3'], ['Qc3', 'Qxd1\n'], ['Rxd1', 'e2']]",0-1
London m4,London,1834.??.??,63,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['d5', 'Na5'], ['Bd3', 'Nf6'], ['Nc3', 'O-O'], ['h3', 'Bd7'], ['Bg5', 'h6'], ['Bh4', 'g5'], ['Nxg5', 'hxg5\n'], ['Bxg5', 'Bd4'], ['Ne2', 'Bxa1'], ['Qxa1', 'Kg7'], ['f4', 'Qe7'], ['Qc3', 'b6'], ['Rf3', 'Nc4'], ['Bxf6+', 'Qxf6\n'], ['Rg3+', '']]",1-0
London m4,London,1834.??.??,64,"McDonnell, Alexander","De Labourdonnais, Louis",,,B30,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bc4', 'e6'], ['Nc3', 'Nf6'], ['e5', 'd5'], ['exf6', 'dxc4'], ['fxg7', 'Bxg7'], ['Ne4', 'Qd5\n'], ['Ng3', 'h5'], ['h4', 'e5'], ['O-O', 'Bg4'], ['Qe2', 'f5'], ['Qe3', 'Bxf3'], ['Qxf3', 'Qxf3'], ['gxf3', 'Nd4\n'], ['Kg2', 'Nxc2'], ['Rb1', 'Nd4'], ['b3', 'cxb3'], ['axb3', 'O-O-O'], ['d3', 'Bf6'], ['f4', 'Rhg8'], ['Kh3', 'exf4\n'], ['Bxf4', 'Rg6'], ['Bg5', 'Bxg5'], ['hxg5', 'Ne6'], ['Nxf5', 'Rxd3+'], ['Ng3', 'Rxg5'], ['b4', 'Rd4'], ['bxc5', 'Rxc5\n'], ['Rfc1', 'Rxc1'], ['Rxc1+', 'Kd7'], ['Kg2', '']]",0-1
London m5,London,1834.??.??,65,"McDonnell, Alexander","De Labourdonnais, Louis",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'Bb6'], ['d4', 'exd4'], ['cxd4', 'd6\n'], ['h3', 'h6'], ['Nc3', 'Nge7'], ['Bb2', 'O-O'], ['Ne2', 'Ng6'], ['Ng3', 'Kh8'], ['Qc2', 'Nh4'], ['Nxh4', 'Qxh4\n'], ['Rad1', 'Bd7'], ['Kh2', 'f5'], ['d5', 'Ne5'], ['Bxe5', 'dxe5'], ['exf5', 'Qf4'], ['Bd3', 'Rae8'], ['Rde1', 'Qb4\n'], ['Re4', 'Qd6'], ['Rg4', 'Qxd5'], ['Nh5', 'Re7'], ['f6', 'gxf6'], ['Qc1', 'Bxg4'], ['Qxh6+', 'Kg8'], ['Qg6+', 'Kh8']]",1/2-1/2
London m5,London,1834.??.??,66,"McDonnell, Alexander","De Labourdonnais, Louis",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Bc5'], ['O-O', 'Bb6'], ['d4', 'exd4'], ['cxd4', 'd6\n'], ['h3', 'h6'], ['Bb2', 'Qe7'], ['e5', 'dxe5'], ['Ba3', 'Qf6'], ['Re1', 'Bd7'], ['dxe5', 'Qf5'], ['Nc3', 'O-O-O\n'], ['Nd5', 'Be6'], ['Bd3', 'Rxd5'], ['Bxf5', 'Rxd1'], ['Bxe6+', 'fxe6'], ['Raxd1', 'Nge7'], ['Rd3', 'Nd5\n'], ['g3', 'g5'], ['Kg2', 'Rg8'], ['Re4', 'a5'], ['Ne1', 'Ncb4'], ['Bxb4', 'axb4'], ['a3', 'bxa3'], ['Rxa3', 'Kd7\n'], ['Rf3', 'c5'], ['Rf7+', 'Kc6'], ['Rh7', 'Rg6'], ['h4', 'gxh4'], ['Rxh4', 'Ba5'], ['Nf3', 'Nc7'], ['R7xh6', 'Rg7\n'], ['Kf1', 'b5'], ['Ke2', 'Kd5'], ['Rh7', 'Rg8'], ['Rd7+', 'Kc6'], ['Rd6+', 'Kb7'], ['Rh7', 'b4'], ['Nd2', 'Ra8\n'], ['Rxe6', 'Bb6'], ['Nc4', 'Ra2+'], ['Kd3', 'Ba7'], ['Rf6', 'Ra1'], ['e6', 'Re1'], ['e7', 'b3'], ['Na5+', 'Kc8\n'], ['Rf8+', 'Ne8'], ['Rxe8+', 'Kc7'], ['Nxb3', '']]",1-0
London m5,London,1834.??.??,67,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Bc5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['d5', 'Na5'], ['Bd3', 'Nf6'], ['Nc3', 'O-O'], ['h3', 'h6'], ['Kh2', 'c5'], ['Nd2', 'Bd7'], ['Qe1', 'g5'], ['f4', 'gxf4\n'], ['Rxf4', 'c4'], ['Bc2', 'Bd4'], ['Nf3', 'Bxc3'], ['Qxc3', 'Nh5'], ['Rh4', 'Ng7'], ['Bxh6', 'f6'], ['Bxg7', 'Kxg7\n'], ['e5', 'fxe5'], ['Rh7+', 'Kg8'], ['Nxe5', 'Bf5'], ['Nf7', 'Qf6'], ['Qxf6', 'Kxh7'], ['Bxf5+', 'Kg8'], ['Nh6+', '']]",1-0
London m5,London,1834.??.??,68,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'c5'], ['f4', 'Nc6'], ['Nf3', 'e6'], ['c3', 'd5'], ['e5', 'f6'], ['Bd3', 'Nh6'], ['Bc2', 'Bd7'], ['O-O', 'Qb6'], ['d4', 'O-O-O\n'], ['Kh1', 'Ng4'], ['a3', 'Kb8'], ['b4', 'cxd4'], ['cxd4', 'Be7'], ['Nc3', 'Rdf8'], ['Na4', 'Qc7'], ['Nc5', 'Bxc5\n'], ['bxc5', 'g5'], ['h3', 'h5'], ['Kg1', 'gxf4'], ['hxg4', 'hxg4'], ['Ne1', 'fxe5'], ['Bb2', 'g3'], ['dxe5', 'Nxe5\n'], ['Nf3', 'Nxf3+'], ['Rxf3', 'Rh4'], ['Qd2', 'Qxc5+'], ['Bd4', 'Qe7'], ['Qa5', 'a6'], ['Rb1', 'Bb5'], ['Rxb5', 'Rfh8\n'], ['Bxh8', 'Rh1+'], ['Kxh1', 'Qh4+'], ['Kg1', 'Qh2+'], ['Kf1', 'Qh1+'], ['Ke2', 'Qxg2+'], ['Ke1', 'Qh1+\n'], ['Kd2', 'Qxh8'], ['Qxa6', 'Qh2+'], ['Kc1', '']]",1-0
London m5,London,1834.??.??,69,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['d5', 'Na5'], ['Bd3', 'Nf6'], ['h3', 'h6'], ['Nc3', 'O-O'], ['Kh1', 'Nh7'], ['Qc2', 'f5'], ['exf5', 'c5'], ['g4', 'a6\n'], ['Bf4', 'Bc7'], ['a4', 'c4'], ['Be4', 'Nb3'], ['Rae1', 'Nc5'], ['Nd4', 'Nxe4'], ['Kg2', 'Neg5'], ['Bxg5', 'Qxg5\n'], ['f4', 'Qh4'], ['Ne6', 'Bxe6'], ['dxe6', 'h5'], ['Qe2', 'hxg4'], ['hxg4', 'b5'], ['Nd5', 'Rfc8'], ['e7', 'Kf7\n'], ['Rh1', '']]",1-0
London m5,London,1834.??.??,70,"McDonnell, Alexander","De Labourdonnais, Louis",,,C00,"[['e4', 'c5'], ['f4', 'Nc6'], ['c3', 'e6'], ['Nf3', 'd5'], ['e5', 'Qb6'], ['Bd3', 'f6'], ['Bc2', 'Nh6'], ['O-O', 'Nf7'], ['Kh1', 'Bd7\n'], ['d4', 'Be7'], ['a3', 'a5'], ['b3', 'f5'], ['Be3', 'O-O'], ['Nbd2', 'Rfc8'], ['h3', 'Kh8'], ['g4', 'g6'], ['Rg1', 'cxd4\n'], ['cxd4', 'g5'], ['gxf5', 'exf5'], ['fxg5', 'Nfxe5'], ['Nxe5', 'Nxe5'], ['Ra2', 'Ng6'], ['Nf3', 'Qe6\n'], ['Ne5', 'Nxe5'], ['dxe5', 'Rc3'], ['Rg3', 'Rac8'], ['Bb1', 'Be8'], ['Rf2', 'Bg6'], ['b4', 'axb4'], ['axb4', 'Rxe3\n'], ['Rxe3', 'Bxg5'], ['Re1', 'Rc1'], ['Qxc1', 'Bxc1'], ['Rxc1', 'Qxe5'], ['Rcf1', 'd4'], ['Bxf5', 'Bxf5\n'], ['Rxf5', 'Qe4+'], ['Kg1', 'd3'], ['Rf8+', 'Kg7'], ['R1f6', 'Qd4+'], ['Kf1', 'Qxf6+'], ['Rxf6', 'Kxf6\n'], ['Kf2', 'Ke5'], ['Ke3', 'd2'], ['Kxd2', 'Kd4'], ['b5', 'Kc5'], ['Kc3', 'Kxb5'], ['Kb3', 'h5']]",0-1
London m5,London,1834.??.??,71,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['d5', 'Na5'], ['Bd3', 'Nf6'], ['h3', 'O-O'], ['Kh1', 'c6'], ['Na3', 'h6'], ['Bf4', 'cxd5'], ['exd5', 'Bc7\n'], ['Qd2', 'Nh7'], ['Nb5', 'b6'], ['Bxh7+', 'Kxh7'], ['Qc2+', 'f5'], ['Qxc7', 'Qxc7'], ['Nxc7', '']]",1-0
London m5,London,1834.??.??,72,"McDonnell, Alexander","De Labourdonnais, Louis",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'Bb6'], ['d4', 'exd4'], ['cxd4', 'd6\n'], ['h3', 'h6'], ['Bb2', 'Qe7'], ['e5', 'dxe5'], ['d5', 'Na5'], ['Nxe5', 'Nf6'], ['d6', 'cxd6'], ['Bxf7+', 'Kd8\n'], ['Re1', 'Kc7'], ['Na3', 'a6'], ['Rc1+', 'Bc5'], ['Rxc5+', 'dxc5'], ['Nec4', 'Qd8'], ['Be5+', 'Kc6'], ['Qf3+', 'Nd5\n'], ['Bxd5+', 'Kd7'], ['Qf5+', 'Ke7'], ['Qf7+', '']]",1-0
London m5,London,1834.??.??,73,"De Labourdonnais, Louis","McDonnell, Alexander",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6\n'], ['d5', 'Nce7'], ['e5', 'Ng6'], ['Bb2', 'dxe5'], ['Bxe5', 'Nf6'], ['Bxf6', 'Qxf6'], ['Re1+', 'Kf8'], ['Nbd2', 'Bf5\n'], ['Qb3', 'h6'], ['a4', 'Rb8'], ['a5', 'Bc5'], ['Bd3', 'Nf4'], ['Bxf5', 'Qxf5'], ['Ne4', 'Qg4'], ['g3', 'Nh3+\n'], ['Kg2', 'Bd6'], ['Nxd6', 'cxd6'], ['Ra4', 'Qd7'], ['Rh4', 'g5'], ['Rxh3', 'g4'], ['Rh4', 'gxf3+'], ['Qxf3', 'Qb5\n'], ['Rhe4', 'Rh7'], ['Qf5', 'Rg7'], ['Re7', 'Qxa5'], ['Rxb7', 'Qd8'], ['Rxa7', 'Qg5'], ['Qxg5', 'Rxg5'], ['Ree7', 'Rf5\n'], ['g4', 'Rf6'], ['Re2', 'Rb5'], ['Rd2', 'Kg7'], ['Rd7', 'Rb4'], ['h3', 'Kg6'], ['Rd3', 'Rbf4'], ['f3', 'Ra4\n'], ['Kg3', 'Rb4'], ['h4', 'Ra4'], ['Rd8', 'Kg7'], ['Re3', 'Ra6'], ['Ree8', 'Rg6'], ['Re7', 'Kf6'], ['Rdd7', 'Rg7\n'], ['Re3', 'Rb6'], ['f4', 'Rh7'], ['h5', 'Rg7'], ['Kh4', 'Ra6'], ['Rf3', 'Rb6'], ['Rc3', 'Rg8'], ['Rc6', 'Rxc6\n'], ['dxc6', 'Ke6'], ['f5+', 'Ke5'], ['c7', 'Rc8'], ['Rxf7', 'd5'], ['Rd7', 'd4'], ['g5', 'Kxf5'], ['g6', 'Ke6\n'], ['Rxd4', 'Rxc7'], ['Rf4', 'Ra7'], ['Rf8', 'Ra4+'], ['Kg3', 'Ra3+'], ['Kf4', 'Ra4+'], ['Ke3', 'Ra3+'], ['Kd4', 'Ra4+\n'], ['Kc3', 'Ra3+'], ['Kc4', 'Ra4+'], ['Kb3', 'Rg4'], ['Rh8', 'Kf6'], ['Rxh6', 'Kg7'], ['Rh7+', 'Kg8'], ['Kc3', 'Rh4\n'], ['Kd3', 'Rg4'], ['Ke3', 'Rh4'], ['Kf3', 'Rb4'], ['Kg3', 'Ra4'], ['Rf7', 'Rb4'], ['Rf4', 'Rb1'], ['Kg4', 'Rg1+\n'], ['Kh4', 'Kg7'], ['Rf7+', 'Kg8'], ['Rf3', 'Kg7'], ['Rg3', 'Ra1'], ['Rg4', 'Rb1'], ['Re4', 'Rg1'], ['Re3', 'Kh6\n'], ['Re7', 'Rh1+'], ['Kg4', 'Rg1+'], ['Kf5', 'Rf1+'], ['Ke6', 'Kxh5'], ['g7', 'Rg1'], ['Kf7', 'Rf1+'], ['Ke8', 'Rg1\n'], ['Kf8', '']]",1-0
London m5,London,1834.??.??,74,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'c5'], ['f4', 'Nc6'], ['Nf3', 'e6'], ['c3', 'd5'], ['e5', 'f6'], ['Bd3', 'Qb6'], ['Bc2', 'Bd7'], ['O-O', 'Nh6'], ['Kh1', 'Be7\n'], ['d4', 'f5'], ['a3', 'a5'], ['h3', 'O-O'], ['g4', 'fxg4'], ['hxg4', 'Be8'], ['f5', 'Nxg4'], ['f6', 'gxf6\n'], ['exf6', 'Bxf6'], ['Rg1', 'h5'], ['Qd3', 'Qc7'], ['Bh6', 'c4'], ['Qe2', 'Bg7'], ['Bxg7', 'Rxf3'], ['Rxg4', 'hxg4\n'], ['Qxe6+', 'Qf7'], ['Qxf7+', 'Bxf7']]",0-1
