Staffordshire op,Staffordshire,1975.??.??,5,"Short, Nigel D","Evans, JS.",,,B02,"[['e4', 'd5'], ['exd5', 'Nf6'], ['Nc3', 'Nxd5'], ['Nxd5', 'Qxd5'], ['d4', 'Nc6'], ['Be3', 'e5'], ['dxe5', 'Qxe5'], ['c3', 'Bd6\n'], ['Nf3', 'Bg4'], ['Nxe5', 'Bxd1'], ['Nxc6', 'Ba4'], ['Nd4', 'Bd7'], ['Nb5', 'Be5'], ['f4', 'a6'], ['Nd4', 'Bd6\n'], ['O-O-O', 'O-O'], ['Bd3', 'Rae8'], ['Rhe1', 'Bg4'], ['Be2', 'Rxe3'], ['Bxg4', 'Rxe1'], ['Rxe1', 'Bxf4+\n'], ['Kc2', 'Bxh2'], ['Bf3', 'c5'], ['Nf5', 'b6'], ['Ne7+', 'Kh8'], ['Nd5', 'b5'], ['Re7', 'f5'], ['Ra7', 'g5\n'], ['Rxa6', 'g4'], ['Be2', 'Rd8'], ['Rh6', 'Bg1'], ['Rh1', 'Bf2'], ['Rd1', 'c4'], ['b3', 'Ra8'], ['Kb2', 'Re8\n'], ['Bf1', 'Re4'], ['bxc4', 'bxc4'], ['Nf6', 'Re6'], ['Nh5', 'Rb6+'], ['Kc2', 'h6'], ['Bxc4', 'Kh7'], ['Nf4', 'Kg7\n'], ['Rd7+', 'Kh8'], ['a4', 'Rc6'], ['Bd5', 'Rf6'], ['Kb3', 'Be3'], ['Rd8+', 'Kh7'], ['Bg8+', 'Kh8'], ['Nh5', 'Bb6\n'], ['Rc8', 'Rd6'], ['Be6+', 'Bd8'], ['Bxf5', 'Kg8'], ['Nf6+', 'Kf7'], ['Nxg4', 'Bb6'], ['Kb4', 'h5'], ['Nh2', 'Rd2\n'], ['Be4', 'Rb2+'], ['Kc4', 'Ke7'], ['Rh8', 'Ra2'], ['Kb3', 'Re2'], ['Bf3', 'Re3'], ['Nf1', 'Re1'], ['Nd2', 'Bc7\n'], ['Rxh5', 'Bf4'], ['Ne4', 'Rb1+'], ['Ka2', 'Rb8'], ['a5', 'Bc1'], ['g4', 'Rb2+'], ['Ka1', 'Rb3'], ['Bd1', 'Ra3+\n'], ['Kb1', 'Be3'], ['Kb2', '']]",1-0
Sigeman & Co,Malmo SWE,2009.06.03,1,"Short,N","Berg,E",,,B42,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Bd3', 'Bc5'], ['Nb3', 'Be7'], ['a4', 'd6'], ['a5', 'Nf6\n'], ['O-O', 'O-O'], ['Nc3', 'e5'], ['Be3', 'Be6'], ['Nd5', 'Nc6'], ['c4', 'Nd7'], ['Qd2', 'Nc5'], ['Bc2', 'Bxd5\n'], ['exd5', 'Nxb3'], ['Bxb3', 'Nd4'], ['Ba4', 'b6'], ['Bxd4', 'exd4'], ['Qxd4', 'bxa5'], ['Rae1', 'Bf6\n'], ['Qd2', 'Ra7'], ['b3', 'g6'], ['Re4', 'Re7'], ['Rxe7', 'Bxe7'], ['Re1', 'Bf6'], ['c5', 'Qc7'], ['c6', 'Kg7\n'], ['g3', 'Rb8'], ['Re4', 'h5'], ['Kg2', 'Qb6'], ['h3', 'Qc7'], ['f4', 'Qd8'], ['Qe3', 'Qc7'], ['g4', 'hxg4\n'], ['hxg4', 'Kf8'], ['g5', 'Bg7'], ['Qe2', 'Qa7'], ['c7', '']]",1-0
Sigeman & Co,Malmo SWE,2009.06.04,2,"Nyback,T","Short,N",,,E06,"[['d4', 'e6'], ['c4', 'Nf6'], ['Nf3', 'd5'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'dxc4'], ['Qc2', 'a6'], ['Qxc4', 'b5\n'], ['Qc2', 'Bb7'], ['Bd2', 'h6'], ['a3', 'Re8'], ['b4', 'Nbd7'], ['Nc3', 'Nb6'], ['Rfd1', 'Nc4'], ['Be1', 'Qb8\n'], ['e4', 'Rd8'], ['Bf1', 'a5'], ['Bxc4', 'bxc4'], ['Rab1', 'axb4'], ['axb4', 'Ra3'], ['Ne5', 'Rb3'], ['b5', 'Rxb1\n'], ['Qxb1', 'Qa7'], ['Nc6', 'Bxc6'], ['bxc6', 'Rxd4'], ['Qb7', 'Bc5'], ['Rb1', 'Rd8'], ['Qxa7', 'Bxa7'], ['Kf1', 'Bb6\n'], ['Na4', 'Bd4'], ['Rb7', 'Ne8'], ['Nc3', 'f6'], ['Nb5', 'Bb6'], ['Ke2', 'Rd3'], ['Bd2', 'Nd6'], ['Rb8+', 'Kf7\n'], ['Nc3', 'Bxf2']]",0-1
Sigeman & Co,Malmo SWE,2009.06.05,3,"Short,N","Grandelius,N",,,B90,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Qf3', 'Nbd7'], ['Be2', 'g6'], ['Be3', 'Bg7\n'], ['h3', 'Ne5'], ['Qg3', 'b5'], ['f4', 'Nc4'], ['Bxc4', 'bxc4'], ['f5', 'Bb7'], ['Qh4', 'Qa5'], ['O-O', 'O-O\n'], ['Rad1', 'Rae8'], ['fxg6', 'hxg6'], ['Nf5', 'gxf5'], ['Rxf5', 'd5'], ['exd5', 'Qb4'], ['Bh6', 'Qb6+\n'], ['Kh1', 'Nh7'], ['Bxg7', 'Kxg7'], ['Rd4', 'Rh8'], ['Rg4+', 'Kf8'], ['Qh5', 'Bxd5'], ['Nxd5', 'Qe6'], ['Nc7', '']]",1-0
Sigeman & Co,Malmo SWE,2009.06.06,4,"Short,N","Hillarp Persson,T",,,B92,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'e5'], ['Nb3', 'Be7'], ['O-O', 'O-O\n'], ['Be3', 'Be6'], ['Nd5', 'Nbd7'], ['Qd3', 'Bxd5'], ['exd5', 'Nc5'], ['Qd2', 'Nfe4'], ['Qb4', 'b6'], ['f3', 'Nf6\n'], ['Qd2', 'Qd7'], ['c3', 'a5'], ['Rfd1', 'a4'], ['Nc1', 'e4'], ['f4', 'b5'], ['h3', 'Bd8'], ['Kh2', 'Bb6'], ['Rb1', 'Rfb8\n'], ['g4', 'Na6'], ['Bxb6', 'Rxb6'], ['g5', 'Ne8'], ['a3', 'Qe7'], ['Qe3', 'Rbb8'], ['Na2', 'Nec7'], ['Nb4', 'Nxb4\n'], ['cxb4', 'Rf8'], ['Rbc1', 'f6'], ['h4', 'fxg5'], ['hxg5', 'Qf7'], ['Rxc7', 'Qxc7'], ['Bxb5', 'Qf7'], ['Kg3', 'h6\n'], ['Qxe4', 'hxg5'], ['fxg5', 'Rae8'], ['Bxe8', 'Rxe8'], ['g6', 'Rxe4'], ['gxf7+', 'Kxf7'], ['Rd3', 'Ke7\n'], ['Kf2', 'g5'], ['Re3', 'Re5'], ['Rxe5+', 'dxe5'], ['b5', 'Kd6'], ['b6', 'Kd7'], ['Kf3', 'Kd6'], ['Kf2', 'Kd7\n'], ['Kf3', 'Kd6'], ['Ke3', 'g4'], ['Ke4', 'Kd7'], ['Ke3', 'Kd6'], ['Ke4', 'Kd7'], ['Ke3', '']]",1/2-1/2
Sigeman & Co,Malmo SWE,2009.06.07,5,"Sokolov,Iv NED","Short,N",,,E12,"[['d4', 'e6'], ['c4', 'Nf6'], ['Nf3', 'b6'], ['a3', 'Ba6'], ['Qc2', 'Bb7'], ['Nc3', 'c5'], ['e4', 'cxd4'], ['Nxd4', 'Bc5\n'], ['Nb3', 'Nc6'], ['Bg5', 'Nd4'], ['Nxd4', 'Bxd4'], ['Bd3', 'Qb8'], ['Ne2', 'h6'], ['Bd2', 'Bc5'], ['b4', 'Be7\n'], ['O-O', 'O-O'], ['f4', 'a5'], ['e5', 'Ne8'], ['bxa5', 'bxa5'], ['Rab1', 'Bxa3'], ['f5', 'Bb4'], ['Bxb4', 'axb4\n'], ['Rxb4', 'Qc7'], ['Kh1', 'exf5'], ['Bxf5', 'Bc6'], ['Qd2', 'Qxe5'], ['Rb3', 'Nd6'], ['Bb1', 'Rfe8'], ['Ng3', 'Rab8\n'], ['Rc3', 'Re7'], ['c5', 'Ne4'], ['Bxe4', 'Bxe4'], ['h3', 'Bg6'], ['Kh2', 'Rc8'], ['Qc1', 'd5'], ['c6', 'd4\n'], ['Rc5', 'Qd6'], ['Qc4', 'Bd3'], ['Qxd3', 'Qxc5'], ['Nf5', 'Qe5+'], ['Kh1', 'Re6'], ['Nxd4', 'Rd6'], ['Qf5', 'Qxf5\n'], ['Nxf5', 'Re6'], ['Rc1', 'h5'], ['Kh2', 'g6'], ['Nd4', 'Rd6'], ['Rc4', 'Kf8'], ['g4', 'hxg4'], ['hxg4', 'Ke7\n'], ['Kg3', 'Rd5'], ['Kf4', 'Kd6'], ['Ke4', 'Re5+'], ['Kd3', 'Ra5']]",0-1
7th Staunton Memorial,London ENG,2009.08.08,1,"Short,N","Werle,J",,,C77,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['Nc3', 'Bb4'], ['O-O', 'O-O'], ['Nd5', 'Bd6'], ['Re1', 'Nxd5\n'], ['exd5', 'b5'], ['dxc6', 'bxa4'], ['Nxe5', 'dxc6'], ['d4', 'Qh4'], ['c3', 'Be6'], ['Qxa4', 'Bd5'], ['Qd1', 'Rfe8\n'], ['Bd2', 'Bxe5'], ['dxe5', 'Rad8'], ['b3', 'Re6'], ['Re3', 'Rg6'], ['Rg3', 'Rxg3'], ['hxg3', 'Qe4'], ['Qf1', 'h6\n'], ['Bf4', 'Qc2'], ['Qc1', 'Be4'], ['g4', 'Qxc1+'], ['Rxc1', 'g5'], ['Be3', 'Kg7'], ['f3', 'Bg6'], ['Bd4', 'Rd5\n'], ['b4', 'Bd3'], ['e6+', 'Kf8'], ['Re1', 'Bc4'], ['Bc5+', 'Ke8'], ['exf7+', 'Kxf7'], ['Re7+', 'Kg6'], ['Rxc7', 'Rd1+\n'], ['Kh2', 'Bd5'], ['Bd4', 'h5'], ['gxh5+', 'Kxh5'], ['a4', 'g4'], ['Rh7+', '']]",1-0
7th Staunton Memorial,London ENG,2009.08.09,2,"Smeets,J","Short,N",,,B04,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'dxe5'], ['Nxe5', 'c6'], ['Be2', 'Bf5'], ['O-O', 'Nd7'], ['c4', 'N5f6\n'], ['Bf4', 'Qb6'], ['Nxd7', 'Nxd7'], ['Qd2', 'e5'], ['dxe5', 'O-O-O'], ['Nc3', 'Nc5'], ['Nd5', 'cxd5'], ['cxd5', 'Kb8\n'], ['Be3', 'f6'], ['b4', 'Ne4'], ['Bxb6', 'Nxd2'], ['Bxd8', 'Bxb4'], ['a3', 'Rxd8'], ['axb4', 'Nxf1'], ['Bxf1', 'fxe5\n'], ['Bc4', 'a6'], ['Re1', 'e4'], ['g4', 'Bxg4'], ['Rxe4', 'Bf5'], ['Re5', 'g6'], ['f4', 'Kc7'], ['Re7+', 'Rd7\n'], ['Re8', 'Kd6'], ['b5', 'a5']]",0-1
7th Staunton Memorial,London ENG,2009.08.10,3,"Short,N","Sokolov,Ivan",,,C58,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['Ng5', 'd5'], ['exd5', 'Na5'], ['Bb5+', 'c6'], ['dxc6', 'bxc6'], ['Bd3', 'h6\n'], ['Ne4', 'Nd5'], ['O-O', 'g6'], ['Re1', 'Bg7'], ['Bf1', 'O-O'], ['d3', 'f5'], ['Nc5', 'Qd6'], ['Nb3', 'Nb7\n'], ['g3', 'Be6'], ['c4', 'Nb6'], ['Qc2', 'Nd7'], ['Nc3', 'a5'], ['Na4', 'g5'], ['Bd2', 'Bf7'], ['Bc3', 'Rfe8\n'], ['d4', 'e4'], ['Rad1', 'Bg6'], ['c5', 'Qc7'], ['d5', 'cxd5'], ['Rxd5', 'Bxc3'], ['Qxc3', 'Ne5'], ['Red1', 'f4\n'], ['c6', 'Qxc6'], ['Rxe5', '']]",1-0
7th Staunton Memorial,London ENG,2009.08.11,4,"L'Ami,E","Short,N",,,E08,"[['d4', 'Nf6'], ['c4', 'e6'], ['g3', 'Bb4+'], ['Bd2', 'Be7'], ['Bg2', 'd5'], ['Nf3', 'O-O'], ['O-O', 'c6'], ['Bf4', 'Nbd7\n'], ['Qc2', 'Nh5'], ['Bc1', 'b5'], ['c5', 'f5'], ['a4', 'b4'], ['a5', 'Ba6'], ['Qa4', 'Qc7'], ['Qxb4', 'e5'], ['Bg5', 'Bxg5\n'], ['Nxg5', 'Rab8'], ['Qc3', 'Rfe8'], ['dxe5', 'Nxe5'], ['Nd2', 'h6'], ['Ngf3', 'Bxe2'], ['Rfe1', 'Bxf3\n'], ['Nxf3', 'Nxf3+'], ['Qxf3', 'g6'], ['Qc3', 'Kf7'], ['b4', 'Nf6'], ['Qd4', 'h5'], ['Rab1', 'Qb7']]",1/2-1/2
7th Staunton Memorial,London ENG,2009.08.12,5,"Short,N","Van Wely,L",,,B84,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'e6'], ['f4', 'Be7'], ['Be3', 'O-O\n'], ['g4', 'd5'], ['e5', 'Ne4'], ['Nxe4', 'dxe4'], ['Qd2', 'Bh4+'], ['Kf1', 'Be7'], ['Qc3', 'Bd7'], ['Rd1', 'Qc8\n'], ['Qxc8', 'Rxc8'], ['c3', 'Ba4'], ['Rc1', 'Nc6'], ['Bd1', 'Bb5+'], ['Nxb5', 'axb5'], ['a3', 'Na5'], ['Be2', 'Nc4\n'], ['Bxc4', 'bxc4'], ['Re1', 'f5'], ['exf6', 'gxf6'], ['Bd4', 'f5'], ['Rg1', 'Kf7'], ['gxf5', 'exf5'], ['Rg7+', 'Ke6\n'], ['Rxh7', 'Rg8'], ['Rh6+', 'Kf7'], ['Rb6', 'Rg4'], ['Be3', 'Rh8'], ['Re2', 'Rh3'], ['Rxb7', 'Ke6'], ['Rb6+', 'Kd7\n'], ['Rb7+', 'Ke6'], ['Rb6+', 'Kd7'], ['Rb7+', '']]",1/2-1/2
7th Staunton Memorial,London ENG,2009.08.13,6,"Werle,J","Short,N",,,D63,"[['d4', 'e6'], ['c4', 'Nf6'], ['Nf3', 'd5'], ['Nc3', 'Nbd7'], ['Bg5', 'h6'], ['Bh4', 'Be7'], ['e3', 'O-O'], ['Rc1', 'Re8\n'], ['a3', 'a6'], ['c5', 'Ne4'], ['Bxe7', 'Qxe7'], ['Be2', 'Nxc3'], ['Rxc3', 'c6'], ['O-O', 'e5'], ['b4', 'e4\n'], ['Nd2', 'Nf8'], ['Qc2', 'Bf5'], ['Rb1', 'Qg5'], ['Qd1', 'Re6'], ['a4', 'Bh3'], ['g3', 'Qf5'], ['Bf1', 'Bg4\n'], ['Qe1', 'h5'], ['Rcb3', 'h4'], ['Be2', 'Rf6'], ['Bxg4', 'Qxg4'], ['Qd1', 'Qf5'], ['Qe2', 'Nh7'], ['g4', 'Qe6\n'], ['Kh1', 'Ng5'], ['Rg1', 'Rf8'], ['Rbb1', 'Nf3'], ['Nxf3', 'Rxf3'], ['Rg2', 'f5'], ['gxf5', 'Qxf5'], ['Rf1', 'h3\n'], ['Rg3', 'Rxf2'], ['Rxf2', 'Qxf2'], ['Qxf2', 'Rxf2'], ['Rxh3', 'Rb2'], ['b5', 'axb5'], ['axb5', 'cxb5\n'], ['Rh5', 'b4'], ['Rxd5', 'b3'], ['c6', 'bxc6'], ['Rd8+', 'Kh7'], ['Rb8', 'Kg6'], ['Rb7', 'Kh5'], ['Kg1', 'g5']]",0-1
7th Staunton Memorial,London ENG,2009.08.14,7,"Short,N","Smeets,J",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nc3', 'Bb4'], ['Nxe5', 'O-O'], ['Nd3', 'Bxc3'], ['dxc3', 'Nxe4'], ['Be3', 'Re8'], ['Be2', 'd6\n'], ['O-O', 'Bf5'], ['Nf4', 'Nc6'], ['Re1', 'Nf6'], ['Qd2', 'Ng4'], ['Bd3', 'Qd7'], ['h3', 'Nxe3'], ['Rxe3', 'Re5\n'], ['Rae1', '']]",1/2-1/2
7th Staunton Memorial,London ENG,2009.08.15,8,"Sokolov,Ivan","Short,N",,,D53,"[['d4', 'e6'], ['c4', 'Nf6'], ['Nf3', 'd5'], ['Nc3', 'Nbd7'], ['Bg5', 'h6'], ['Bh4', 'Be7'], ['cxd5', 'Nxd5'], ['Bxe7', 'Qxe7\n'], ['Qc2', 'Nxc3'], ['Qxc3', 'Nf6'], ['Rc1', 'Bd7'], ['Ne5', 'O-O'], ['g3', 'Bb5'], ['Bg2', 'c6'], ['Rc2', 'Nd5\n'], ['Qc5', 'Qxc5'], ['Rxc5', 'Rfd8'], ['a3', 'f6'], ['Nf3', 'g5'], ['b3', 'b6'], ['Rc2', 'Ne7'], ['e3', 'Bd3\n'], ['Rc3', 'Ba6'], ['h4', 'g4'], ['Nd2', 'Rab8'], ['Bf1', 'Bb7'], ['Bg2', 'Ba6'], ['Bf1', 'Bb7'], ['Bg2', '']]",1/2-1/2
7th Staunton Memorial,London ENG,2009.08.16,9,"Short,N","L'Ami,E",,,B11,"[['e4', 'c6'], ['Nc3', 'd5'], ['Nf3', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'Nf6'], ['Be2', 'dxe4'], ['Nxe4', 'Nxe4'], ['Qxe4', 'Qd5\n'], ['Qg4', 'Nd7'], ['O-O', 'Nf6'], ['Qa4', 'Qe4'], ['Qxe4', 'Nxe4'], ['Re1', 'g6'], ['d4', 'Bg7'], ['Bf3', 'Nf6\n'], ['c4', 'Rd8'], ['Be3', 'O-O'], ['Rad1', 'e6'], ['g4', 'h6'], ['h4', 'Rfe8'], ['Kg2', 'Nd7'], ['d5', 'Ne5\n'], ['dxc6', 'Nxf3'], ['Kxf3', 'bxc6'], ['b3', 'a5'], ['g5', 'hxg5'], ['hxg5', 'Ra8'], ['Rd7', 'Bf8'], ['Red1', 'a4\n'], ['Rc7', 'axb3'], ['axb3', 'Rec8'], ['Rdd7', 'Rxc7'], ['Rxc7', 'Rb8'], ['Rxc6', 'Rxb3'], ['Rc8', 'f5\n'], ['gxf6', 'Kf7'], ['Ke4', 'Rb7'], ['Bd4', 'g5'], ['c5', 'Rb1'], ['c6', 'Rc1'], ['Be3', '']]",1-0
7th Staunton Memorial,London ENG,2009.08.17,10,"Van Wely,L","Short,N",,,E34,"[['d4', 'e6'], ['c4', 'Nf6'], ['Nc3', 'Bb4'], ['Qc2', 'd5'], ['cxd5', 'Qxd5'], ['e3', 'c5'], ['a3', 'Bxc3+'], ['bxc3', 'O-O\n'], ['Nf3', 'b6'], ['c4', 'Qh5'], ['Be2', 'Bb7'], ['O-O', 'Nbd7'], ['a4', 'Qg6'], ['Qxg6', 'hxg6'], ['Bb2', 'a5\n'], ['Rfd1', 'Rfd8'], ['Nd2', 'Rac8'], ['f3', 'cxd4'], ['exd4', 'Ba6'], ['Kf2', 'Rc7'], ['Rac1', 'Rdc8'], ['Ba3', 'Ne8\n'], ['f4', 'Bb7'], ['Re1', 'Bc6'], ['Bd1', 'Ndf6'], ['g4', 'Rd7'], ['Ke3', 'Rcd8'], ['Bb2', 'Nd6'], ['h3', 'Rc8\n'], ['Ba3', 'Bb7'], ['Be2', 'Ba6'], ['Bd3', 'Rc6'], ['Rc2', 'Rdc7'], ['Rec1', 'Rc8'], ['Ke2', 'Kh8'], ['Kd1', 'Nfe8\n'], ['Ke2', 'Nf6'], ['Ke3', 'Kg8'], ['g5', 'Nh5'], ['d5', 'exd5'], ['cxd5', 'Rxc2'], ['Rxc2', 'Re8+'], ['Kd4', 'Bxd3\n'], ['Rc6', 'Nf5+']]",0-1
4th Kolkata Open,Kolkata IND,2009.09.01,1,"Prathamesh,S","Short,N",,,C96,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Na5'], ['Bc2', 'c5'], ['d4', 'Nd7'], ['Nbd2', 'exd4'], ['cxd4', 'Re8'], ['a4', 'Bb7'], ['d5', 'Bf6\n'], ['Rb1', 'g6'], ['b3', 'Qc7'], ['Ba3', 'Re7'], ['Bd3', 'b4'], ['Bb2', 'Bxb2'], ['Rxb2', 'Rae8'], ['Re3', 'Bc8\n'], ['Qf1', 'Qa7'], ['Rb1', 'f6'], ['Kh1', 'Kg7'], ['Rbe1', 'g5'], ['Nh2', 'Ne5'], ['Be2', 'Rf8'], ['Ng4', 'Bxg4\n'], ['hxg4', 'c4'], ['Bxc4', 'Nxg4'], ['Rf3', 'Qd4'], ['Rd1', 'Qe5'], ['Rg3', 'Qf4'], ['Be2', 'Nxf2+'], ['Kg1', 'Qxg3\n'], ['Qxf2', 'Qxf2+'], ['Kxf2', 'Rc8'], ['Bxa6', 'Rc2'], ['Bd3', 'Rc3'], ['Bc4', 'h5'], ['Rb1', 'g4'], ['g3', 'Kg6\n'], ['Re1', 'Re5'], ['Re3', 'Kg5']]",0-1
4th Kolkata Open,Kolkata IND,2009.09.02,2,"Short,N","Kostenko,P",,,B40,"[['e4', 'c5'], ['Nf3', 'e6'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['d4', 'cxd4'], ['Nxd4', 'a6'], ['Nxc6', 'bxc6'], ['O-O', 'd6\n'], ['c4', 'Bg7'], ['Qd3', 'Ra7'], ['Nc3', 'Ne7'], ['Bf4', 'Rd7'], ['Rad1', 'Bb7'], ['c5', 'd5'], ['Rfe1', 'O-O\n'], ['Bd6', 'dxe4'], ['Nxe4', 'Re8'], ['Qb3', 'Nd5'], ['Bf4', 'Nxf4'], ['gxf4', 'Ba8'], ['Nd6', 'Rf8'], ['Bh3', 'Qh4\n'], ['Rxe6', 'fxe6'], ['Bxe6+', 'Kh8'], ['Bxd7', 'Qxf4'], ['Qe3', 'Qa4'], ['b3', 'Qxa2'], ['Be6', 'Qc2'], ['Nf7+', 'Kg8\n'], ['Rd7', 'Qb2'], ['Ne5+', '']]",1-0
4th Kolkata Open,Kolkata IND,2009.09.03,3,"Short,N","Gagunashvili,M",,,B11,"[['e4', 'c6'], ['Nc3', 'd5'], ['Nf3', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'Nf6'], ['Be2', 'dxe4'], ['Nxe4', 'Nxe4'], ['Qxe4', 'e6\n'], ['O-O', 'Nd7'], ['b4', 'Nf6'], ['Qf3', 'Qd5'], ['a3', 'Bd6'], ['Rb1', 'Qxf3'], ['Bxf3', 'a6'], ['Re1', 'Kd7\n'], ['Rb3', 'Kc7'], ['Bb2', 'Rhd8'], ['g3', 'a5'], ['c4', 'axb4'], ['axb4', 'Kd7'], ['b5', 'Ra4'], ['bxc6+', 'bxc6\n'], ['Rb7+', 'Bc7'], ['Be5', 'Rc8'], ['Rc1', 'Ra5'], ['d4', 'Ne8'], ['d5', 'cxd5'], ['cxd5', 'Kd8'], ['dxe6', 'fxe6\n'], ['Rd1+', 'Ke7'], ['Bc3', 'Ra6'], ['Bb4+', 'Kf7'], ['Bh5+', 'g6'], ['Be2', 'Rc6'], ['Bb5', 'Rb6'], ['Rd7+', 'Kg8\n'], ['Bc4', 'Ng7'], ['Rdxc7', 'Rxc7'], ['Rxb6', 'Rxc4'], ['Rb8+', '']]",1-0
4th Kolkata Open,Kolkata IND,2009.09.04,4,"Safarli,E","Short,N",,,C95,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['c3', 'd6\n'], ['h3', 'Nb8'], ['d4', 'Nbd7'], ['Nbd2', 'Bb7'], ['Bc2', 'Re8'], ['Nf1', 'Bf8'], ['Ng3', 'g6'], ['a4', 'c5\n'], ['d5', 'c4'], ['Bg5', 'h6'], ['Be3', 'Nc5'], ['Qd2', 'h5'], ['Ra3', 'Rb8'], ['axb5', 'axb5'], ['Ra7', 'Qb6\n'], ['Rea1', 'Ra8'], ['Rxa8', 'Rxa8'], ['Rxa8', 'Bxa8'], ['Nh4', 'Bb7'], ['Bh6', 'Qd8'], ['Bg5', 'Bc8'], ['f4', 'exf4\n'], ['Qxf4', 'Be7'], ['Nf3', 'Nfd7'], ['Bh6', 'Bf8'], ['Bxf8', 'Qxf8'], ['e5', 'dxe5'], ['Nxe5', 'Bb7'], ['Nxh5', 'Bxd5\n'], ['Ng4', 'gxh5'], ['Qg5+', 'Qg7'], ['Qd8+', 'Qf8'], ['Qg5+', 'Qg7']]",1/2-1/2
4th Kolkata Open,Kolkata IND,2009.09.05,5,"Short,N","Postny,E",,,B11,"[['e4', 'c6'], ['Nf3', 'd5'], ['Nc3', 'Bg4'], ['h3', 'Bh5'], ['d4', 'e6'], ['Bd3', 'Nf6'], ['e5', 'Nfd7'], ['g4', 'Bg6\n'], ['Bxg6', 'hxg6'], ['Ne2', 'c5'], ['c3', 'Nc6'], ['Kf1', 'Qb6'], ['Kg2', 'Be7'], ['Rb1', 'O-O-O'], ['b4', 'cxd4\n'], ['cxd4', 'Kb8'], ['Bd2', 'Rc8'], ['Re1', 'a6'], ['Qb3', 'Na7'], ['a4', 'Rc4'], ['b5', 'Rhc8'], ['Nf4', 'Ka8\n'], ['Nd3', 'a5'], ['Nb2', 'Rc2'], ['Rec1', 'Rxc1'], ['Bxc1', 'Qc7'], ['Bd2', 'b6'], ['Rc1', 'Qd8'], ['Rc2', 'Kb8\n'], ['Nd3', 'g5'], ['Qb1', 'f6'], ['Qc1', 'Nf8'], ['Nfe1', 'Kb7'], ['f4', 'gxf4'], ['Bxf4', 'Rxc2+'], ['Qxc2', 'Qc8\n'], ['Qxc8+', 'Kxc8'], ['Nf3', 'Kd7'], ['h4', 'Nc8'], ['h5', 'Nh7'], ['Be3', 'Bd8'], ['Kh3', 'Ke8'], ['Nf4', 'Kf7\n'], ['Ng6', 'Ng5+'], ['Nxg5+', 'fxg5'], ['Kg2', 'Kg8'], ['Kf3', 'Kf7'], ['Ke2', 'Kg8'], ['Kd3', 'Kf7'], ['Bc1', 'Ke8\n'], ['Ba3', 'Ne7'], ['Bd6', 'Nxg6'], ['hxg6', 'Be7'], ['Bc7', 'Bd8'], ['Bxd8', 'Kxd8']]",1/2-1/2
4th Kolkata Open,Kolkata IND,2009.09.06,6,"Sandipan,C","Short,N",,,A40,"[['d4', 'Nc6'], ['c4', 'e5'], ['d5', 'Nce7'], ['Nc3', 'Ng6'], ['g3', 'Bb4'], ['Bd2', 'a5'], ['e4', 'd6'], ['Bd3', 'Nf6\n'], ['Qc2', 'Nd7'], ['h4', 'Nc5'], ['h5', 'Ne7'], ['h6', 'g6'], ['O-O-O', 'O-O'], ['f4', 'c6'], ['a3', 'cxd5'], ['exd5', 'Bf5\n'], ['Ne4', 'Bxe4'], ['Bxe4', 'Bxd2+'], ['Rxd2', 'Nc8'], ['Kb1', 'Nb6'], ['fxe5', 'dxe5'], ['d6', 'Rc8'], ['Bd5', 'Kh8\n'], ['Nf3', 'f6'], ['g4', 'Ncd7'], ['Qe4', 'a4'], ['g5', 'Nc5'], ['Qe3', 'e4'], ['Nh2', 'Nb3']]",1/2-1/2
