Burevestnik-ch sf,Moscow,1965.??.??,?,"Volovich, Anatoly A","Gulko, Boris F",,,A09,"[['Nf3', 'd5'], ['g3', 'Nc6'], ['c4', 'd4'], ['d3', 'e5'], ['Bg2', 'Bg4'], ['h3', 'Bf5'], ['O-O', 'Qd7'], ['Kh2', 'Nf6\n'], ['Na3', 'Be7'], ['Nc2', 'a5'], ['b3', 'O-O'], ['a3', 'h6'], ['Bd2', 'e4'], ['Nfe1', 'Rfd8'], ['dxe4', 'Bxe4\n'], ['f3', 'Bh7'], ['Nd3', 'Bd6'], ['Be1', 'Re8'], ['Bf2', 'Qe7'], ['Re1', 'Rad8'], ['Qd2', 'h5'], ['Kg1', 'h4\n'], ['g4', 'Bg3'], ['Bxg3', 'hxg3'], ['Qf4', 'a4'], ['bxa4', 'Na5'], ['Qxg3', 'Nxc4'], ['g5', 'Nd5'], ['f4', 'Nc3\n'], ['Bf3', 'Ne3'], ['Nxe3', 'Qxe3+'], ['Qf2', 'Bxd3'], ['exd3', 'Qxd3'], ['Bxb7', 'Re3'], ['Bg2', 'Rde8\n'], ['a5', 'Qb5'], ['f5', 'Qxa5'], ['g6', 'Qe5'], ['gxf7+', 'Kxf7'], ['Rxe3', 'Qxe3'], ['Qxe3', 'Rxe3'], ['Kf2', 'Re5\n'], ['Bf1', 'Rxf5+'], ['Ke1', 'Ke6'], ['a4', 'Ra5'], ['Bc4+', 'Kd6'], ['Bb3', 'Kc5'], ['Kd2', 'Kb4'], ['Bc2', 'Re5\n'], ['Rf1', 'Re2+'], ['Kd3', 'c5'], ['Rf7', 'c4+'], ['Kxd4', 'Rd2+'], ['Ke5', '']]",0-1
Corus B,Wijk aan Zee NED,2001.01.22,6,"Gulko,B","Vink,N",,,D64,"[['Nf3', 'Nf6'], ['c4', 'e6'], ['Nc3', 'd5'], ['d4', 'c6'], ['Bg5', 'Be7'], ['e3', 'O-O'], ['Qc2', 'Nbd7'], ['Rc1', 'b6\n'], ['cxd5', 'cxd5'], ['Bd3', 'Bb7'], ['O-O', 'a6'], ['Ne5', 'h6'], ['Bxf6', 'Bxf6'], ['f4', 'Qe7'], ['Qe2', 'Rfc8\n'], ['a4', 'g6'], ['e4', 'dxe4'], ['Bxe4', 'Bxe4'], ['Nxe4', 'Rxc1'], ['Rxc1', 'Qd8'], ['Nd6', 'Nxe5'], ['dxe5', 'Be7\n'], ['Rc6', 'Qd7'], ['Qc4', 'Bd8'], ['h3', 'h5'], ['b4', 'Qa7'], ['Qd4', 'Qd7'], ['Qc3', 'Ra7'], ['Kh2', 'Rc7\n'], ['b5', 'axb5'], ['axb5', 'Ra7'], ['Rc8', 'Rc7'], ['Rxc7', 'Bxc7'], ['Qc6', 'Qd8'], ['Ne4', 'Kg7'], ['Nf6', 'Bb8\n'], ['Ne8+', 'Kf8'], ['Nf6', 'Kg7'], ['Qc3', 'Kf8'], ['Qa3+', 'Kg7'], ['Qg3', 'Kf8'], ['Qe3', 'Kg7'], ['Kg3', 'Bc7\n'], ['Qc3', 'Kf8'], ['Kh4', 'Bb8'], ['g3', 'Kg7'], ['Qc6', 'Qd4'], ['Nd7', 'Kh6']]",0-1
Corus B,Wijk aan Zee NED,2001.01.23,7,"Hoeksema,E","Gulko,B",,,A40,"[['d4', 'e6'], ['c4', 'Bb4+'], ['Bd2', 'a5'], ['e4', 'd5'], ['cxd5', 'exd5'], ['e5', 'Ne7'], ['a3', 'Bxd2+'], ['Qxd2', 'O-O\n'], ['Nc3', 'b6'], ['f4', 'c5'], ['Bb5', 'Nbc6'], ['Nge2', 'cxd4'], ['Nxd4', 'Nxd4'], ['Qxd4', 'Nf5'], ['Qd3', 'd4\n'], ['Nd1', 'Nh4'], ['O-O', 'Bf5'], ['Qb3', 'Rc8'], ['Rf2', 'Rc5'], ['a4', 'Be4'], ['Qh3', 'Nf5'], ['Rd2', 'Qc8\n'], ['Nf2', 'Rc1+'], ['Rd1', 'Rxd1+'], ['Rxd1', 'Ne3'], ['Qxc8', 'Rxc8'], ['Re1', 'Bxg2'], ['Ng4', 'Nc2\n'], ['Rc1', 'Be4'], ['Nf2', 'Bf5'], ['Bd3', 'Nb4'], ['Rxc8+', 'Bxc8'], ['Bc4', 'Bf5'], ['Kf1', 'Kf8'], ['Ke2', 'Ke7\n'], ['Kd2', 'f6'], ['exf6+', 'Kxf6'], ['Ke2', 'Bd7'], ['b3', 'Kf5']]",0-1
Corus B,Wijk aan Zee NED,2001.01.25,8,"Bosboom,M","Gulko,B",,,A20,"[['c4', 'e5'], ['e3', 'Nf6'], ['a3', 'g6'], ['b4', 'Bg7'], ['Bb2', 'd6'], ['d3', 'O-O'], ['Nf3', 'Ng4'], ['h3', 'Nh6'], ['Qb3', 'a5\n'], ['Nbd2', 'axb4'], ['axb4', 'Rxa1+'], ['Bxa1', 'Be6'], ['d4', 'exd4'], ['Bxd4', 'Nc6'], ['Bxg7', 'Kxg7\n'], ['Be2', 'f5'], ['O-O', 'Qf6'], ['Qa3', 'Nf7'], ['c5', 'Bd5'], ['Rc1', 'f4'], ['e4', 'Nd4'], ['Bd3', 'Nxf3+\n'], ['Nxf3', 'Be6'], ['cxd6', 'cxd6'], ['Rc7', 'Rc8'], ['Qc1', 'Ra8'], ['Kh2', 'Ra2'], ['Bc4', 'Bxc4'], ['Qxc4', 'Rxf2\n'], ['Rxf7+', 'Qxf7'], ['Qd4+', '']]",1-0
Corus B,Wijk aan Zee NED,2001.01.26,9,"Gulko,B","Gurevich,M",,,D36,"[['Nf3', 'd5'], ['d4', 'c6'], ['c4', 'Nf6'], ['Nc3', 'e6'], ['Bg5', 'Nbd7'], ['cxd5', 'exd5'], ['e3', 'Be7'], ['Qc2', 'O-O\n'], ['Bd3', 'Re8'], ['O-O', 'Nf8'], ['h3', 'Ne4'], ['Bf4', 'Ng5'], ['Bxg5', 'Bxg5'], ['b4', 'Be7'], ['b5', 'Bd6\n'], ['bxc6', 'bxc6'], ['Rab1', 'Qf6'], ['e4', 'dxe4'], ['Nxe4', 'Qh6'], ['Nxd6', 'Qxd6'], ['Be4', 'Be6'], ['Qxc6', 'Rad8\n'], ['Rfe1', 'Qa3'], ['d5', 'Bd7'], ['Qc4', 'Rc8'], ['Qd4', 'Qxa2'], ['Ne5', 'Qa4'], ['Rb4', 'Qa5'], ['Ra1', 'Qc5\n'], ['Qxc5', 'Rxc5'], ['Nxd7', 'Nxd7'], ['Rxa7', 'Nf6'], ['d6', 'Nxe4'], ['Rxe4', 'Rd8'], ['Rae7', 'Rf8\n'], ['Rd4', 'Rcc8'], ['d7', 'Ra8'], ['Rde4', 'Rad8'], ['h4', 'h5'], ['f3', 'g6'], ['Kf2', 'Kg7'], ['Ke3', 'Ra8\n'], ['Kd3', 'Ra7'], ['Kc3', 'Rd8'], ['Kd3', '']]",1/2-1/2
Corus B,Wijk aan Zee NED,2001.01.27,10,"Van der Weide,K","Gulko,B",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['Nge2', 'Nbd7'], ['h3', 'Rb8'], ['a4', 'c5\n'], ['Be3', 'b6'], ['O-O', 'a6'], ['Qd2', 'cxd4'], ['Bxd4', 'Bb7'], ['g4', 'b5'], ['axb5', 'axb5'], ['Ng3', 'b4\n'], ['Nd5', 'Bxd5'], ['exd5', 'Nc5'], ['Rfe1', 'Qc7'], ['Re2', 'e5'], ['dxe6', 'Nxe6'], ['Be3', 'd5'], ['Ra7', 'Rb7\n'], ['Rxb7', 'Qxb7'], ['Bh6', 'Bxh6'], ['Qxh6', 'Qc7'], ['Qd2', 'Qf4']]",1/2-1/2
Corus B,Wijk aan Zee NED,2001.01.28,11,"Gulko,B","Visser,Y",,,E70,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['Bg5', 'O-O'], ['e4', 'd6'], ['Qd2', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['bxa6', 'Qa5\n'], ['Bd3', 'Nxa6'], ['Nge2', 'Nb4'], ['Bb1', 'e6'], ['dxe6', 'fxe6'], ['O-O', 'Ng4'], ['a3', 'c4'], ['h3', 'Ne5\n'], ['Be3', 'Nbd3'], ['Nd4', 'Nc5'], ['Ba2', 'Ba6'], ['Rfd1', 'Rac8'], ['Rab1', 'Kh8'], ['Nc2', 'Ned3'], ['Nb4', 'Bb7\n'], ['Nxd3', 'Nxd3'], ['Bxc4', 'Nxf2'], ['Bxf2', 'Rxc4'], ['Qxd6', 'Bxe4'], ['Nxe4', 'Rxe4'], ['Bd4', 'Rxd4\n'], ['Rxd4', 'Qa7'], ['Rd1', 'e5'], ['Qd7', 'Qb6'], ['Qd6', 'Qa7']]",1/2-1/2
US-China Summit,Seattle USA,2001.03.14,1,Ye Jiangchuan,"Gulko,B",,,B08,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Nf3', 'Bg7'], ['Be3', 'O-O'], ['Qd2', 'd5'], ['exd5', 'Nxd5'], ['Bh6', 'Bf5\n'], ['Bxg7', 'Kxg7'], ['O-O-O', 'c6'], ['Nh4', 'Bg4'], ['f3', 'Be6'], ['Ne4', 'f6'], ['g3', 'Nd7'], ['c4', 'Nc7\n'], ['Ng2', 'b5'], ['Nf4', 'Bf7'], ['cxb5', 'Nxb5'], ['Bxb5', 'cxb5'], ['Kb1', 'Qb6'], ['Qb4', 'Rfe8'], ['Nc3', 'Rab8\n'], ['d5', 'a5'], ['Qd4', 'Qxd4'], ['Rxd4', 'Ne5'], ['Rf1', 'Red8'], ['h4', 'h6'], ['Rdd1', 'b4'], ['Ne4', 'g5\n'], ['hxg5', 'hxg5'], ['Ne6+', 'Bxe6'], ['dxe6', 'Rxd1+'], ['Rxd1', 'Nxf3'], ['Rd7', 'Kf8'], ['Rd5', 'Rb6\n'], ['Nc5', 'Rc6'], ['a4', 'bxa3'], ['bxa3', 'Kg7'], ['Kb2', 'Nd4'], ['Ne4', 'Nxe6'], ['Rxa5', 'Nd4'], ['Rd5', 'Rc4\n'], ['Rc5', 'Rxc5'], ['Nxc5', 'Kg6'], ['a4', 'Kf5'], ['Kc3', 'Nc6'], ['Kc4', 'Ke5'], ['Nb3', 'Kd6'], ['a5', 'f5\n'], ['a6', 'e5'], ['g4', 'fxg4'], ['Nd2', 'Kc7'], ['Ne4', 'Ne7'], ['Kc5', 'Nf5'], ['Kd5', 'g3'], ['Nxg5', 'g2\n'], ['Nh3', '']]",1/2-1/2
US-China Summit,Seattle USA,2001.03.15,2,"Gulko,B",Ye Jiangchuan,,,E91,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Be2', 'O-O'], ['Bg5', 'Na6'], ['Nf3', 'h6'], ['Be3', 'Ng4\n'], ['Bc1', 'e5'], ['O-O', 'Qe7'], ['d5', 'f5'], ['exf5', 'gxf5'], ['g3', 'e4'], ['Nh4', 'Ne5'], ['Ng2', '']]",1/2-1/2
US-China Summit,Seattle USA,2001.03.16,3,Ye Jiangchuan,"Gulko,B",,,B82,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bc4', 'Qb6'], ['Nb3', 'e6'], ['O-O', 'Be7\n'], ['Be3', 'Qc7'], ['f4', 'a6'], ['Bd3', 'b5'], ['Qf3', 'Bb7'], ['Qh3', 'O-O'], ['Rf3', 'b4'], ['Na4', 'a5'], ['Rg3', 'Kh8\n'], ['Rf1', 'Ba6'], ['Nd2', 'Bxd3'], ['cxd3', 'Rab8'], ['b3', 'Rb5'], ['Rgf3', 'Nb8'], ['g4', 'Qc2'], ['g5', 'Nfd7\n'], ['d4', 'd5'], ['g6', 'fxg6'], ['Qxe6', 'dxe4'], ['Nxe4', 'Rh5'], ['R3f2', 'Qc8'], ['Qxe7', 'Re8'], ['Rc2', '']]",1-0
US-China Summit,Seattle USA,2001.03.18,4,"Gulko,B",Yin Hao,,,D35,"[['d4', 'd5'], ['c4', 'e6'], ['Nc3', 'Nf6'], ['cxd5', 'exd5'], ['Bg5', 'Be7'], ['e3', 'O-O'], ['Bd3', 'Nbd7'], ['Nge2', 'Re8\n'], ['O-O', 'Nf8'], ['b4', 'Ne4'], ['Bxe7', 'Rxe7'], ['Bxe4', 'dxe4'], ['Ng3', 'f5'], ['f3', 'exf3'], ['Rxf3', 'Ng6\n'], ['Nxf5', 'Bxf5'], ['Rxf5', 'Rxe3'], ['Qd2', 'Re8'], ['Raf1', 'Qe7'], ['Qd3', 'c6'], ['Qc4+', 'Qe6']]",1/2-1/2
World Cup of Rapid Chess Gp A,Cannes FRA,2001.03.21,1,"Grischuk,A","Gulko,B",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'e5'], ['dxe5', 'dxe5'], ['Qxd8+', 'Kxd8'], ['Bc4', 'Be6'], ['Bxe6', 'fxe6\n'], ['Be3', 'Bd6'], ['Nge2', 'Nc6'], ['O-O-O', 'Ng4'], ['Bg5+', 'Ke8'], ['Rdf1', 'h6'], ['Bh4', 'a6'], ['f3', 'Nf6\n'], ['Bf2', 'Rd8'], ['Rd1', 'Rf8'], ['a3', 'Ke7'], ['Na4', 'Nxe4'], ['Bh4+', 'Nf6'], ['Bf2', 'b6'], ['Nac3', 'e4\n'], ['fxe4', 'Ng4'], ['Bg3', 'Nf2'], ['Bxf2', 'Rxf2'], ['g3', 'Rdf8'], ['Rde1', 'Be5'], ['Nd1', 'R2f3'], ['Ng1', 'R3f7\n'], ['c3', 'Rf1'], ['Nh3', 'Rxh1'], ['Rxh1', 'Bd6'], ['Kd2', 'Ne5'], ['Ke2', 'b5'], ['Nf4', 'g5'], ['Nd3', 'Nxd3\n'], ['Kxd3', 'Bc5'], ['e5', 'Rf3+'], ['Ke4', 'g4'], ['Re1', 'h5'], ['Re2', 'c6'], ['Ne3', 'Bxe3'], ['Rxe3', 'Rf2\n'], ['Rd3', 'Rxh2'], ['Rd6', 'Re2+'], ['Kf4', 'Rf2+'], ['Ke4', 'h4'], ['gxh4', 'g3'], ['Rd3', 'g2'], ['Rg3', 'Rxb2\n'], ['h5', 'Re2+'], ['Kf4', 'Rf2+'], ['Ke4', 'Re2+'], ['Kf4', 'Rf2+'], ['Ke4', 'Re2+'], ['Kd4', '']]",1/2-1/2
World Cup of Rapid Chess Gp A,Cannes FRA,2001.03.21,2,"Gulko,B","Bauer,Ch",,,A10,"[['c4', 'b6'], ['b3', 'Bb7'], ['Bb2', 'e6'], ['Nf3', 'f5'], ['g3', 'Nf6'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['Nc3', 'c5\n'], ['d4', 'Ne4'], ['d5', 'Bf6'], ['Rc1', 'exd5'], ['cxd5', 'Na6'], ['Nxe4', 'fxe4'], ['Bxf6', 'Qxf6'], ['Nd2', 'e3\n'], ['fxe3', 'Qg5'], ['Rf4', 'Nb4'], ['Nf3', 'Qe7'], ['Qd2', 'Nxd5'], ['Rxf8+', 'Rxf8'], ['Nh4', 'Qe5'], ['Bf3', 'Bc6\n'], ['Ng2', 'Re8'], ['Rd1', 'Nxe3'], ['Bxc6', 'dxc6'], ['Qxe3', 'Qxe3+'], ['Nxe3', 'Rxe3'], ['Kf2', 'Re7\n'], ['Rd6', 'Rc7'], ['e4', 'Kf7'], ['Ke3', 'a5'], ['h4', 'Ke7'], ['e5', 'a4'], ['bxa4', 'Ra7'], ['Rxc6', 'Rxa4\n'], ['Rxb6', 'Rxa2'], ['Ke4', 'Rd2'], ['h5', 'Rd4+'], ['Kf5', 'c4'], ['Rc6', 'Kd7'], ['Rc5', 'Ke7'], ['Rc7+', 'Kd8\n'], ['Rc6', 'Kd7'], ['Rc5', 'Ke7'], ['g4', 'g6+'], ['hxg6', 'hxg6+'], ['Kg5', 'Ke6']]",1-0
World Cup of Rapid Chess Gp A,Cannes FRA,2001.03.21,3,"Lautier,J","Gulko,B",,,A40,"[['d4', 'e6'], ['c4', 'Bb4+'], ['Bd2', 'a5'], ['Nf3', 'd6'], ['Nc3', 'f5'], ['e3', 'Nf6'], ['Bd3', 'O-O'], ['Qc2', 'Nc6\n'], ['a3', 'Bxc3'], ['Bxc3', 'a4'], ['O-O', 'Ne7'], ['Nd2', 'Ng6'], ['f4', 'd5'], ['cxd5', 'Nxd5'], ['Rae1', 'Bd7\n'], ['g3', 'Bc6'], ['e4', 'Nf6'], ['Bc4', 'Nxe4'], ['Bxe6+', 'Kh8'], ['Nxe4', 'Bxe4'], ['Rxe4', 'fxe4'], ['Qxe4', 'c6\n'], ['f5', 'Ne7'], ['Bb4', 'Rf6'], ['g4', 'Nd5'], ['g5', 'Rf8'], ['f6', 'Nxf6'], ['gxf6', 'Rxf6'], ['Bf5', 'Qe8\n'], ['Bxh7', 'Rxf1+'], ['Kxf1', 'Qf7+'], ['Kg1', 'Re8'], ['Bg6', 'Rxe4'], ['Bxf7', 'Rg4+'], ['Kh1', 'Rxd4\n'], ['Bc3', 'Rf4'], ['Bg6', 'Rg4'], ['Bf5', 'Rf4'], ['Bc8', 'b6'], ['Bd7', 'c5'], ['Kg2', 'Kh7'], ['Kg3', 'g5\n'], ['Be5', 'Rc4'], ['Bb5', 'Rc1'], ['Bxa4', 'Kh6'], ['Bb5', 'Rc2'], ['Kf3', 'Kh5'], ['Be8+', 'Kh6'], ['Ba4', 'Rd2\n'], ['Ke3', 'Rg2'], ['Bc6', 'Rc2'], ['a4', 'Rc4'], ['Bb5', 'Rb4'], ['Kd2', 'Kg6'], ['Kc3', 'Rh4'], ['Bd3+', 'Kf7\n'], ['b3', 'Ke6'], ['Bg3', 'Rd4'], ['Bc7', 'Rh4'], ['Bxb6', 'Rxh2'], ['a5', 'g4'], ['a6', 'Ra2'], ['a7', 'g3\n'], ['Be4', 'g2'], ['Bxg2', '']]",1-0
World Cup of Rapid Chess Gp A,Cannes FRA,2001.03.21,4,"Gulko,B","Polgar,Ju",,,E91,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['e4', 'd6'], ['d4', 'Bg7'], ['Be2', 'O-O'], ['Bg5', 'Na6'], ['Nf3', 'Qe8'], ['O-O', 'e5\n'], ['dxe5', 'dxe5'], ['Nd2', 'c6'], ['Be3', 'Qe7'], ['Nb3', 'Rd8'], ['Qc2', 'Ng4'], ['Bxg4', 'Bxg4'], ['a3', 'Be6\n'], ['Ne2', 'f5'], ['f3', 'Qf7'], ['Rac1', 'f4'], ['Bf2', 'g5'], ['Kh1', 'g4'], ['fxg4', 'Bxg4'], ['Ng1', 'Qh5\n'], ['Nd2', 'Kh8'], ['Ndf3', 'Bf6'], ['Rcd1', 'Rg8'], ['Rd6', 'Be7'], ['Rd2', 'Bf6'], ['Rd6', 'Rg6'], ['Be1', 'Bg7\n'], ['Rxg6', 'hxg6'], ['Bc3', 'Re8'], ['Qf2', 'b6'], ['Rd1', 'Nc5'], ['Qe2', 'g5'], ['b4', 'Ne6'], ['Rd6', 'c5\n'], ['bxc5', 'bxc5'], ['Qb2', 'Nd4'], ['Bxd4', 'cxd4'], ['Qb5', 'a6'], ['Qd5', 'Kh7'], ['Rd8', 'Bf6'], ['Qb7+', 'Kg8\n'], ['Rxe8+', 'Qxe8'], ['Qxa6', 'Be6'], ['c5', 'g4'], ['Nd2', 'Bg5'], ['Nc4', 'f3'], ['gxf3', 'Bf4'], ['fxg4', 'Bxg4\n'], ['h3', 'Qh5'], ['Kg2', 'Bxh3+'], ['Nxh3', 'Qg4+'], ['Kf2', 'Qg3+'], ['Kf1', 'Qxh3+'], ['Ke1', 'Qc3+\n'], ['Ke2', 'd3+'], ['Kf2', 'Qc2+'], ['Kg1', 'Qh2+'], ['Kf1', 'Qh3+'], ['Kf2', 'Bg3+']]",0-1
World Cup of Rapid Chess Gp A,Cannes FRA,2001.03.22,5,"Svidler,P","Gulko,B",,,B63,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Bg5', 'e6'], ['Qd2', 'Be7'], ['O-O-O', 'O-O\n'], ['Nb3', 'Qb6'], ['f3', 'Rd8'], ['Nb5', 'Rd7'], ['Qe1', 'a6'], ['N5d4', 'Rd8'], ['g4', 'e5'], ['Nf5', 'Bxf5\n'], ['exf5', 'Nd5'], ['h4', 'Bxg5+'], ['hxg5', 'Qe3+'], ['Qd2', 'Rac8'], ['Kb1', 'Ncb4'], ['a3', 'Rxc2'], ['Qxe3', 'Nxe3\n'], ['axb4', 'Rf2'], ['Re1', 'Rxf3'], ['Nd2', 'Rg3'], ['Ne4', 'Rf3'], ['Rh3', 'Rxh3'], ['Bxh3', 'Nd5'], ['Rd1', 'Nf4\n'], ['Bf1', 'd5'], ['Nc5', 'b6'], ['Nd3', 'Nxd3'], ['Bxd3', 'Kf8'], ['Be4', 'd4'], ['Kc2', 'f6'], ['g6', 'hxg6\n'], ['fxg6', 'Ke7'], ['Ra1', 'Rh8'], ['Rxa6', 'Rh2+'], ['Kd3', 'Rh3+'], ['Kc4', 'Re3'], ['Bf5', 'b5+'], ['Kxb5', 'd3\n'], ['Ra7+', 'Ke8'], ['Rxg7', '']]",1-0
World Cup of Rapid Chess Gp A,Cannes FRA,2001.03.22,6,"Bareev,E","Gulko,B",,,A41,"[['d4', 'd6'], ['Nf3', 'Bg4'], ['c4', 'Nd7'], ['e4', 'Bxf3'], ['Qxf3', 'g6'], ['Nc3', 'Bg7'], ['Qd1', 'c5'], ['d5', 'Bxc3+\n'], ['bxc3', 'Qa5'], ['Qc2', 'Ngf6'], ['Rb1', 'O-O-O'], ['Be2', 'Kb8'], ['O-O', 'h6'], ['f4', 'Ka8'], ['Be3', 'Rhg8\n'], ['e5', 'dxe5'], ['fxe5', 'Nxe5'], ['Rb5', 'Qa6'], ['Rxc5', 'Neg4'], ['Bd4', 'e5'], ['dxe6', 'Qxe6'], ['Bf3', 'Rxd4\n'], ['cxd4', 'Qd6'], ['Bxb7+', 'Kb8'], ['Rb1', 'Qxd4+'], ['Kh1', 'Qxc5'], ['Bf3+', 'Kc7'], ['Rb7+', 'Kc8\n'], ['Qb1', 'Qe5'], ['g3', 'Re8'], ['Rxf7', 'Qe1+'], ['Qxe1', 'Rxe1+'], ['Kg2', 'Re6'], ['c5', 'Ne5'], ['Rxa7', 'Nxf3\n'], ['Kxf3', 'Nd7'], ['Ra5', 'Rf6+'], ['Ke3', 'Rf5'], ['g4', 'Re5+'], ['Kd4', 'Rg5'], ['h3', 'h5'], ['gxh5', 'Rxh5\n'], ['Ra8+', 'Kb7'], ['Rg8', 'Rh4+'], ['Kc3', 'Rxh3+'], ['Kb4', 'Ne5'], ['a4', 'Nc6+'], ['Kb5', 'Rb3+'], ['Kc4', 'Rb4+\n'], ['Kd5', 'Ne7+']]",0-1
World Cup of Rapid Chess Gp A,Cannes FRA,2001.03.22,7,"Gulko,B","Kasparov,G",,,D97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Nf3', 'Bg7'], ['Qb3', 'dxc4'], ['Qxc4', 'O-O'], ['e4', 'Na6'], ['Be2', 'c5\n'], ['d5', 'e6'], ['O-O', 'exd5'], ['exd5', 'Bf5'], ['Be3', 'Qb6'], ['Nh4', 'Bd7'], ['Rab1', 'Rfe8']]",1/2-1/2
Sigeman & Co,Malmoe SWE,2001.06.12,1,"Timman,J","Gulko,B",,,A40,"[['d4', 'e6'], ['c4', 'Bb4+'], ['Bd2', 'a5'], ['Qc2', 'd6'], ['Nf3', 'Nc6'], ['e4', 'e5'], ['d5', 'Nb8'], ['Bxb4', 'axb4\n'], ['c5', 'Nf6'], ['Bb5+', 'Bd7'], ['Bd3', 'O-O'], ['O-O', 'Na6'], ['Bxa6', 'Rxa6'], ['Nbd2', 'c6'], ['cxd6', 'cxd5\n'], ['Nxe5', 'Bb5'], ['Rfe1', 'Qxd6'], ['exd5', 'Qxd5']]",1/2-1/2
Sigeman & Co,Malmoe SWE,2001.06.13,2,"Gulko,B","Radjabov,T",,,A00,"[['g3', 'g6'], ['Bg2', 'Bg7'], ['d4', 'd6'], ['e4', 'e5'], ['dxe5', 'dxe5'], ['Qxd8+', 'Kxd8'], ['b3', 'Be6'], ['Bb2', 'Nd7\n'], ['Nd2', 'Ne7'], ['Bh3', 'Bxh3'], ['Nxh3', 'f6'], ['O-O-O', 'Ke8'], ['f4', 'Nc6'], ['Nc4', 'Nb6'], ['Ne3', 'Rd8\n'], ['Nd5', 'Nxd5'], ['exd5', 'Ne7'], ['c4', 'c6'], ['fxe5', 'fxe5'], ['Nf4', 'exf4'], ['Bxg7', 'Rg8'], ['Bf6', 'Rf8\n'], ['Bxe7', 'Kxe7'], ['Rhe1+', 'Kf6'], ['gxf4', 'cxd5'], ['Rxd5', 'Rxd5'], ['cxd5', 'Kf5'], ['Re7', 'h5\n'], ['Rxb7', 'Kxf4'], ['d6', 'Rd8'], ['Rxa7', 'Rxd6'], ['a4', 'h4'], ['a5', 'g5'], ['Kc2', 'g4'], ['b4', 'Ke4\n'], ['Rg7', 'Kf5'], ['Kc3', 'Rc6+'], ['Kb3', 'Rc1'], ['a6', 'h3'], ['b5', 'Rb1+'], ['Kc4', 'Ra1'], ['Kc5', 'Kf4\n'], ['a7', '']]",1-0
Sigeman & Co,Malmoe SWE,2001.06.14,3,"Sokolov,I","Gulko,B",,,E12,"[['d4', 'e6'], ['c4', 'Nf6'], ['Nf3', 'b6'], ['a3', 'Bb7'], ['Nc3', 'Ne4'], ['Nxe4', 'Bxe4'], ['e3', 'Be7'], ['Bd3', 'Bxd3\n'], ['Qxd3', 'd6'], ['e4', 'Nd7'], ['O-O', 'a5'], ['Bf4', 'O-O'], ['Rad1', 'Qc8'], ['e5', 'dxe5'], ['dxe5', 'Nc5\n'], ['Qc2', 'h6'], ['Be3', 'Rd8'], ['Rxd8+', 'Qxd8'], ['Nd4', 'Qe8'], ['b4', 'axb4'], ['axb4', 'Na6'], ['b5', 'Nb4\n'], ['Qe4', '']]",1/2-1/2
Sigeman & Co,Malmoe SWE,2001.06.15,4,"Gulko,B","Cramling,P",,,A29,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['Nf3', 'Nc6'], ['g3', 'Bc5'], ['d3', 'd6'], ['Bg2', 'O-O'], ['O-O', 'a6'], ['a3', 'Nd4\n'], ['Ne1', 'c6'], ['e3', 'Nf5'], ['Nf3', 'Ba7'], ['b4', 'Re8'], ['Bb2', 'd5'], ['e4', 'dxe4'], ['Nxe4', 'Nd4\n'], ['Nxd4', 'Bxd4'], ['Bxd4', 'Qxd4'], ['Nxf6+', 'gxf6'], ['Re1', 'Bg4'], ['Bf3', 'f5'], ['Bxg4', 'Qxg4\n'], ['Re3', '']]",1/2-1/2
